超高壓變電站,BUS,V1_緯度,V1_經度,V2_緯度,V2_經度,V3_緯度,V3_經度,V4_緯度,V4_經度,V5_緯度,V5_經度,V6_緯度,V6_經度,檢查掉進海裡後_資料後處理_模糊緯度,檢查掉進海裡後_資料後處理_模糊經度
冬山E,1500,24.781379,121.3236607,24.5620728,121.2877279,24.4435297,121.4796637,24.5445887,121.7080888,24.764298,121.7443266,24.882546,121.5518348,24.6633079,121.5157295
汐止E,1550,25.1012394,121.5879797,24.882546,121.5518348,24.764298,121.7443266,24.8650368,121.9735144,25.0841243,122.0099636,25.2020797,121.8169212,24.9834632,121.7806041
仙渡E,1580,25.1170932,121.1677252,24.8988015,121.1318862,24.781379,121.3236607,24.882546,121.5518348,25.1012394,121.5879797,25.2183647,121.3956451,25.0001445,121.3596331
深美E,1650,25.1012394,121.5879797,24.882546,121.5518348,24.764298,121.7443266,24.8650368,121.9735144,25.0841243,122.0099636,25.2020797,121.8169212,24.9834632,121.7806041
板橋E,1700,25.1170932,121.1677252,24.8988015,121.1318862,24.781379,121.3236607,24.882546,121.5518348,25.1012394,121.5879797,25.2183647,121.3956451,25.0001445,121.3596331
頂湖E,1750,25.1170932,121.1677252,24.8988015,121.1318862,24.781379,121.3236607,24.882546,121.5518348,25.1012394,121.5879797,25.2183647,121.3956451,25.0001445,121.3596331
大潭E,300,25.1316995,120.7492344,24.9138167,120.7137029,24.7972166,120.9047439,24.8988015,121.1318862,25.1170932,121.1677252,25.2333918,120.9761147,24.9827538,121.0309988
龍潭北E,1900,24.7972166,120.9047439,24.5783209,120.8691178,24.4605989,121.0603269,24.5620728,121.2877279,24.781379,121.3236607,24.8988015,121.1318862,24.6799685,121.0960868
龍潭南E,1910,24.7972166,120.9047439,24.5783209,120.8691178,24.4605989,121.0603269,24.5620728,121.2877279,24.781379,121.3236607,24.8988015,121.1318862,24.6799685,121.0960868
竹工E,2030,24.7972166,120.9047439,24.5783209,120.8691178,24.4605989,121.0603269,24.5620728,121.2877279,24.781379,121.3236607,24.8988015,121.1318862,24.6799685,121.0960868
峨眉E,2000,24.7972166,120.9047439,24.5783209,120.8691178,24.4605989,121.0603269,24.5620728,121.2877279,24.781379,121.3236607,24.8988015,121.1318862,24.6799685,121.0960868
天輪E,2100,24.1389367,120.7979837,23.9184579,120.7624757,23.7993183,120.9532837,23.9009574,121.1801665,24.1218571,121.2159808,24.2406975,121.0246064,24.0202689,120.9889253
后里E,2130,24.4764424,120.6427584,24.2569604,120.6073451,24.1389367,120.7979837,24.2406975,121.0246064,24.4605989,121.0603269,24.5783209,120.8691178,24.3588927,120.833531
霧峰E,2200,24.1548083,120.3817737,23.9347578,120.3465735,23.8164304,120.5366366,23.9184579,120.7624757,24.1389367,120.7979837,24.2569604,120.6073451,24.0369547,120.5719712
中火北E,530,24.1548083,120.3817737,23.9347578,120.3465735,23.8164304,120.5366366,23.9184579,120.7624757,24.1389367,120.7979837,24.2569604,120.6073451,24.0369547,120.5719712
中火南E,540,24.1548083,120.3817737,23.9347578,120.3465735,23.8164304,120.5366366,23.9184579,120.7624757,24.1389367,120.7979837,24.2569604,120.6073451,24.0369547,120.5719712
中港E,2150,24.1548083,120.3817737,23.9347578,120.3465735,23.8164304,120.5366366,23.9184579,120.7624757,24.1389367,120.7979837,24.2569604,120.6073451,24.0369547,120.5719712
中科E,2170,24.1548083,120.3817737,23.9347578,120.3465735,23.8164304,120.5366366,23.9184579,120.7624757,24.1389367,120.7979837,24.2569604,120.6073451,24.0369547,120.5719712
彰濱E,2300,24.1548083,120.3817737,23.9347578,120.3465735,23.8164304,120.5366366,23.9184579,120.7624757,24.1389367,120.7979837,24.2569604,120.6073451,24.0369547,120.5719712
彰林E,2320,23.8323522,120.121795,23.6117513,120.0868079,23.4931183,120.2762907,23.5953924,120.5013412,23.8164304,120.5366366,23.9347578,120.3465735,23.7141928,120.3114125
全興E,2350,24.1548083,120.3817737,23.9347578,120.3465735,23.8164304,120.5366366,23.9184579,120.7624757,24.1389367,120.7979837,24.2569604,120.6073451,24.0369547,120.5719712
南投E,2400,23.8164304,120.5366366,23.5953924,120.5013412,23.4759515,120.6915776,23.5778504,120.9176814,23.7993183,120.9532837,23.9184579,120.7624757,23.6974611,120.727007
嘉民E,2500,23.4931183,120.2762907,23.2715394,120.241208,23.1517954,120.430868,23.253934,120.6561875,23.4759515,120.6915776,23.5953924,120.5013412,23.3738457,120.466085
南科E,2600,23.1690389,120.016951,22.9469378,119.982081,22.8268892,120.1711599,22.9292469,120.3956901,23.1517954,120.430868,23.2715394,120.241208,23.0494613,120.2061644
龍崎北E,2650,22.8268892,120.1711599,22.6038285,120.1361943,22.4826763,120.3254516,22.584887,120.5502521,22.8083964,120.5855248,22.9292469,120.3956901,22.7062054,120.3605514
龍崎南E,2660,22.8268892,120.1711599,22.6038285,120.1361943,22.4826763,120.3254516,22.584887,120.5502521,22.8083964,120.5855248,22.9292469,120.3956901,22.7062054,120.3605514
路北E,2670,22.8268892,120.1711599,22.6038285,120.1361943,22.4826763,120.3254516,22.584887,120.5502521,22.8083964,120.5855248,22.9292469,120.3956901,22.7062054,120.3605514
仁武E,2750,22.8268892,120.1711599,22.6038285,120.1361943,22.4826763,120.3254516,22.584887,120.5502521,22.8083964,120.5855248,22.9292469,120.3956901,22.7062054,120.3605514
高港E,2900,22.4826763,120.3254516,22.2586651,120.2903909,22.1364143,120.479824,22.2384738,120.7048917,22.4629348,120.7402587,22.584887,120.5502521,22.4146445,120.5463095
瀰力E,2930,22.8268892,120.1711599,22.6038285,120.1361943,22.4826763,120.3254516,22.584887,120.5502521,22.8083964,120.5855248,22.9292469,120.3956901,22.7062054,120.3605514
大鵬E,2950,22.4826763,120.3254516,22.2586651,120.2903909,22.1364143,120.479824,22.2384738,120.7048917,22.4629348,120.7402587,22.584887,120.5502521,22.4146445,120.5463095
鳳林E,3000,23.7810026,121.3717037,23.5591125,121.3357959,23.4380476,121.5274931,23.539166,121.7556515,23.7614708,121.7918631,23.8822432,121.5996128,23.6730045,121.5262854
核一E,10,25.4360351,121.4316967,25.2183647,121.3956451,25.1012394,121.5879797,25.2020797,121.8169212,25.4201427,121.8532781,25.5369735,121.6603886,25.2729923,121.590291
核二E,30,25.1012394,121.5879797,24.882546,121.5518348,24.764298,121.7443266,24.8650368,121.9735144,25.0841243,122.0099636,25.2020797,121.8169212,24.9834632,121.7806041
龍門E,40,25.1012394,121.5879797,24.882546,121.5518348,24.764298,121.7443266,24.8650368,121.9735144,25.0841243,122.0099636,25.2020797,121.8169212,24.9834632,121.7806041
協和E,100,25.1012394,121.5879797,24.882546,121.5518348,24.764298,121.7443266,24.8650368,121.9735144,25.0841243,122.0099636,25.2020797,121.8169212,24.9834632,121.7806041
大觀二E,700,23.8164304,120.5366366,23.5953924,120.5013412,23.4759515,120.6915776,23.5778504,120.9176814,23.7993183,120.9532837,23.9184579,120.7624757,23.6974611,120.727007
明潭E,710,23.8164304,120.5366366,23.5953924,120.5013412,23.4759515,120.6915776,23.5778504,120.9176814,23.7993183,120.9532837,23.9184579,120.7624757,23.6974611,120.727007
核三E,1000,22.1364143,120.479824,21.911462,120.4446685,21.7881179,120.6342749,21.890022,120.8596068,22.1154251,120.8950677,22.2384738,120.7048917,22.0248399,120.7058102
興達北E,1080,22.8268892,120.1711599,22.6038285,120.1361943,22.4826763,120.3254516,22.584887,120.5502521,22.8083964,120.5855248,22.9292469,120.3956901,22.7062054,120.3605514
興達南E,1090,22.8268892,120.1711599,22.6038285,120.1361943,22.4826763,120.3254516,22.584887,120.5502521,22.8083964,120.5855248,22.9292469,120.3956901,22.7062054,120.3605514
中寮北E,2480,23.8164304,120.5366366,23.5953924,120.5013412,23.4759515,120.6915776,23.5778504,120.9176814,23.7993183,120.9532837,23.9184579,120.7624757,23.6974611,120.727007
中寮南E,2490,23.8164304,120.5366366,23.5953924,120.5013412,23.4759515,120.6915776,23.5778504,120.9176814,23.7993183,120.9532837,23.9184579,120.7624757,23.6974611,120.727007
興益E,2680,22.8268892,120.1711599,22.6038285,120.1361943,22.4826763,120.3254516,22.584887,120.5502521,22.8083964,120.5855248,22.9292469,120.3956901,22.7062054,120.3605514
霧峰#1,3068,24.1548083,120.3817737,23.9347578,120.3465735,23.8164304,120.5366366,23.9184579,120.7624757,24.1389367,120.7979837,24.2569604,120.6073451,24.0369547,120.5719712
霧峰#2,3069,24.1548083,120.3817737,23.9347578,120.3465735,23.8164304,120.5366366,23.9184579,120.7624757,24.1389367,120.7979837,24.2569604,120.6073451,24.0369547,120.5719712
國光E,9160,25.1170932,121.1677252,24.8988015,121.1318862,24.781379,121.3236607,24.882546,121.5518348,25.1012394,121.5879797,25.2183647,121.3956451,25.0001445,121.3596331
麥寮E,9300,23.8323522,120.121795,23.6117513,120.0868079,23.4931183,120.2762907,23.5953924,120.5013412,23.8164304,120.5366366,23.9347578,120.3465735,23.7141928,120.3114125
塑化E,9320,23.8323522,120.121795,23.6117513,120.0868079,23.4931183,120.2762907,23.5953924,120.5013412,23.8164304,120.5366366,23.9347578,120.3465735,23.7141928,120.3114125
和平E,9410,24.4435297,121.4796637,24.2232162,121.4436375,24.1035564,121.6357319,24.2045036,121.8644048,24.4252217,121.900735,24.5445887,121.7080888,24.3243398,121.6718906
B中火#9,60530,24.1548083,120.3817737,23.9347578,120.3465735,23.8164304,120.5366366,23.9184579,120.7624757,24.1389367,120.7979837,24.2569604,120.6073451,24.0369547,120.5719712
B中火#10,60540,24.1548083,120.3817737,23.9347578,120.3465735,23.8164304,120.5366366,23.9184579,120.7624757,24.1389367,120.7979837,24.2569604,120.6073451,24.0369547,120.5719712
