from_bus,to_bus,ckt,r_pu,x_pu,b_pu,rate_a_mva,rate_b_mva,rate_c_mva,status
10,30,2,0.000243,0.003789,0.08909,2141.65,2355.81,2634.22,1
10,1550,W,0.000393,0.006141,0.14439,2141.65,2355.81,2634.22,1
10,1750,R,0.000701,0.010936,0.25712,2141.65,2355.81,2634.22,1
10,1750,W,0.000701,0.010936,0.25712,2141.65,2355.81,2634.22,1
30,100,1,0.00018,0.00281,0.06608,2141.65,2355.81,2634.22,1
30,1550,2,0.000311,0.004855,0.11415,2141.65,2355.81,2634.22,1
30,1550,4,0.000232,0.003618,0.08506,2141.65,2355.81,2634.22,1
51,4127,1,0.00033,0.002954,0.00544,412.16,501.95,614.65,1
51,7511,M,0.007399,0.04564,0.0441,370.33,407.36,455.5,1
100,1550,1,0.000408,0.006372,0.14983,2141.65,2355.81,2634.22,1
100,1650,R,0.000401,0.006265,0.1473,2141.65,2355.81,2634.22,1
100,1650,W,0.000401,0.006265,0.1473,2141.65,2355.81,2634.22,1
210,1750,1,0.0003,0.0043,0.3989,2141.65,2355.81,2634.22,1
210,1750,2,0.0003,0.0043,0.3993,2141.65,2355.81,2634.22,1
220,230,@1,-0.0,0.0001,0.0,557.72,557.72,557.72,1
220,230,@2,-0.0,0.0001,0.0,557.72,557.72,557.72,1
220,295,3,0.0011,0.0107,1.3419,538.2,692.13,1266.58,1
220,295,4,0.0011,0.0107,1.35,538.2,692.13,1266.58,1
220,3291,1,0.0006,0.0045,0.2768,397.1,549.69,614.65,1
220,3291,2,0.0006,0.0045,0.2765,499.72,549.69,614.65,1
230,294,1,0.0011,0.011,1.3887,538.2,692.13,1266.58,1
230,294,2,0.0011,0.011,1.3924,538.2,692.13,1266.58,1
230,3281,M,0.004,0.0119,0.2852,564.41,721.69,832.48,1
230,3281,O,0.0043,0.0119,0.3185,564.41,721.69,832.48,1
230,4611,R,0.001,0.0068,0.0832,439.48,483.43,540.56,1
230,4611,W,0.0011,0.007,0.0834,439.48,483.43,540.56,1
230,40000,1,4.7e-05,0.00017,0.00427,317.9,384.6,384.5,1
233,20233,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
291,292,@1,-0.0,0.0001,0.0,557.72,557.72,557.72,1
291,292,@2,-0.0,0.0001,0.0,557.72,557.72,557.72,1
291,294,@1,-0.0,0.0001,0.0,1115.4,0.0,0.0,0
291,294,@2,-0.0,0.0001,0.0,1115.4,0.0,0.0,0
291,4759,R,7.4e-05,0.0006,0.07289,824.31,1003.9,1606.23,1
291,4759,W,0.0001,0.0007,0.0783,824.31,1003.9,1606.2,1
291,7635,1,0.001183,0.010293,0.49823,490.24,549.69,614.65,1
291,91851,1,0.0001,0.0007,0.0383,304.52,0.0,0.0,1
291,91852,1,0.0001,0.0007,0.0191,481.59,0.0,0.0,1
291,91853,1,0.0001,0.0007,0.0229,472.11,0.0,0.0,1
292,293,@1,-0.0,0.0001,0.0,557.72,557.72,557.72,1
292,293,@2,-0.0,0.0001,0.0,557.72,557.72,557.72,1
292,3341,R,0.000534,0.004823,0.47663,490.24,549.69,614.65,1
292,3341,W,0.000519,0.004727,0.4749,490.24,549.69,614.65,1
292,4705,1,0.001044,0.008487,0.9409,490.24,557.72,1194.64,1
292,40030,1,2.3e-05,0.000271,0.0074,555.2,557.7,27885.7,1
292,91861,1,0.0001,0.0007,0.0341,304.52,0.0,0.0,1
292,91862,1,0.0001,0.0006,0.0169,481.59,0.0,0.0,1
292,91863,1,0.0002,0.0008,0.0245,472.11,0.0,0.0,1
293,3371,1,0.0021,0.0114,1.252,567.0,0.0,0.0,1
293,3371,2,0.0021,0.0114,1.252,567.0,0.0,0.0,1
293,4757,1,0.00024,0.001278,0.1808,537.64,557.72,1266.58,1
293,4757,2,0.000225,0.001292,0.1791,537.64,557.72,1266.58,1
294,295,@1,-0.0,0.0001,0.0,1115.4,0.0,0.0,1
294,295,@2,-0.0,0.0001,0.0,1115.4,0.0,0.0,1
300,2030,1,0.000323,0.004811,0.14427,3267.44,3267.44,3594.19,1
300,2030,2,0.000323,0.004811,0.1147,3267.44,3267.44,3594.19,1
410,1501,W,0.0085,0.076,0.074,507.53,557.72,624.26,1
410,4001,W,0.0011,0.0101,0.0119,509.2,557.72,626.31,1
450,7501,O,0.000709,0.002818,0.00132,295.0,0.0,0.0,1
450,7502,M,0.0007,0.0028,0.0013,295.0,0.0,0.0,1
511,521,@1,-0.0,0.0001,0.0,1115.44,1115.44,1115.44,1
511,521,@2,-0.0,0.0001,0.0,1115.44,1115.44,1115.44,1
511,5683,1,0.000337,0.002934,0.13633,499.72,549.69,614.65,1
511,5789,1,0.000325,0.002546,0.07704,499.72,549.69,614.65,1
511,7686,R,0.0023,0.0145,0.0177,691.6,0.0,0.0,0
511,7687,W,0.00161,0.014422,0.01406,499.72,549.69,614.65,0
511,7709,1,0.000635,0.007409,0.20274,283.6,362.24,653.37,1
511,7710,1,0.0003,0.0035,0.0967,342.44,425.26,725.32,1
511,8400,1,0.000538,0.001341,0.02741,415.5,415.5,0.0,1
511,8400,2,0.000534,0.001243,0.02788,415.5,415.5,0.0,1
511,8403,1,0.00063,0.007414,0.23316,283.6,356.38,502.23,1
513,10513,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
513,20513,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
521,8410,1,0.0008,0.0071,0.2068,283.6,0.0,0.0,1
521,8410,2,0.0008,0.0071,0.2068,283.6,0.0,0.0,1
530,540,@1,-0.0,0.0001,0.0,3585.34,3585.34,3585.34,0
530,540,@2,-0.0,0.0001,0.0,3585.34,3585.34,3585.34,0
530,2130,R,0.001,0.0122,0.3228,3280.59,3621.2,3874.68,1
530,2150,N,0.0002,0.0029,0.069,3621.2,3621.2,3874.7,1
530,2150,S,0.0002,0.0029,0.069,2390.23,2390.23,3107.3,1
530,2170,W,0.0004,0.0043,0.1293,3280.59,3585.34,3874.68,1
530,90530,1,6.2e-05,0.000375,0.2964,2182.3,2400.53,2684.23,1
530,90540,1,0.0001,0.0004,0.3142,1152.2,0.0,0.0,1
540,550,@1,-0.0,0.0001,0.0,3585.34,0.0,0.0,1
540,550,@2,-0.0,0.0001,0.0,3585.34,0.0,0.0,1
540,2350,1,0.0001,0.0016,0.0385,3621.2,3621.2,3874.68,1
540,2480,1,0.0011,0.0131,0.3053,3621.0,0.0,0.0,1
550,2300,1,0.0002,0.0029,0.0673,3621.2,3621.2,3874.68,1
550,2350,2,0.0001,0.0016,0.0385,3621.2,3621.2,3874.68,1
600,601,@1,-0.0,0.0001,0.0,557.72,557.72,557.72,1
600,610,@1,-0.0,0.0001,0.0,836.58,836.58,836.58,1
600,3411,2,0.003997,0.026836,0.03511,439.48,483.43,540.56,1
600,8310,1,0.0004,0.0031,0.0625,283.6,362.24,653.37,1
601,628,@1,-0.0,0.0001,0.0,836.58,836.58,836.58,0
601,3411,1,0.003994,0.02683,0.0343,439.48,483.43,540.56,1
610,611,@1,-0.0,0.0001,0.0,836.58,836.58,836.58,0
610,7653,1,0.0035,0.015,0.0257,591.18,0.0,0.0,1
611,620,@1,-0.0,0.0001,0.0,836.58,836.58,836.58,1
611,7652,1,0.0035,0.015,0.0257,591.18,0.0,0.0,1
620,628,@1,-0.0,0.0001,0.0,836.58,836.58,836.58,1
620,3461,W,0.005091,0.03496,0.08434,439.48,483.43,540.56,1
628,5027,1,0.0017,0.013445,0.21399,439.48,483.43,540.56,1
650,660,@1,-0.0,0.0001,0.0,3585.34,3585.34,3585.34,1
650,660,@2,-0.0,0.0001,0.0,3585.34,3585.34,3585.34,1
650,2060,R,0.0004,0.0066,0.1729,3267.44,3267.44,3594.19,1
650,2060,W,0.0005,0.0066,0.1726,3267.44,3267.44,3594.19,1
652,10652,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
652,20652,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
691,697,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
692,697,2,-0.0,0.0001,0.0,0.0,0.0,0.0,1
693,697,3,-0.0,0.0001,0.0,0.0,0.0,0.0,1
694,698,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
695,698,2,-0.0,0.0001,0.0,0.0,0.0,0.0,1
696,698,3,-0.0,0.0001,0.0,0.0,0.0,0.0,1
700,2480,1,0.00034,0.003579,0.05982,1196.31,1315.94,1471.46,1
700,2480,2,0.00034,0.003579,0.05982,1196.31,1315.94,1471.46,1
700,2480,3,0.000214,0.003236,0.08755,1792.67,1792.67,2684.2,1
700,3000,1,0.001325,0.019658,0.43126,1792.67,1792.67,2684.2,1
710,720,@1,-0.0,0.0001,0.0,1115.4,0.0,0.0,1
710,720,@2,-0.0,0.0001,0.0,1115.4,0.0,0.0,1
710,2490,3,0.000216,0.003376,0.07937,2182.28,2400.51,2684.2,1
710,3000,1,0.00137,0.020074,0.44192,2182.28,2400.51,2684.2,1
720,2490,1,0.00021,0.003253,0.07988,2182.28,2400.51,2684.2,1
720,2490,2,0.00021,0.003253,0.07988,2182.28,2400.51,2684.2,1
800,820,N,0.0046,0.0248,0.0126,254.6,280.06,313.16,1
800,820,S,0.0046,0.0248,0.0126,254.6,280.06,313.16,1
800,840,N,0.0059,0.0401,0.039,439.48,483.43,540.56,1
800,840,S,0.0059,0.0401,0.039,439.48,483.43,540.56,1
800,5525,1,0.002192,0.01649,0.01882,439.48,483.43,540.56,1
800,5609,N,0.0008,0.0049,0.0939,421.64,483.43,540.57,0
800,5609,S,0.0008,0.0048,0.0925,421.64,483.43,540.57,0
800,7668,1,0.0023,0.0158,0.0154,439.48,483.43,540.56,1
805,20805,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
822,20822,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
830,7661,2,0.0111,0.0694,0.0658,368.1,404.9,452.76,1
830,7664,1,0.0111,0.0694,0.0658,368.1,0.0,0.0,1
834,20834,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
844,20844,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
850,860,M,0.002451,0.00919,0.0039,170.1,185.16,209.23,1
850,860,O,0.002451,0.00919,0.0039,170.1,185.16,209.23,1
850,870,1,0.0161,0.0673,0.031,185.16,203.68,227.75,1
850,2201,O,0.00724,0.048951,0.0558,439.48,483.43,540.56,1
850,3481,1,0.010927,0.043237,0.02237,185.16,203.68,227.75,1
850,5647,1,0.0078,0.056,0.115,439.48,483.43,540.56,1
850,6009,M,0.00622,0.044256,0.07658,412.16,483.43,540.56,1
850,6009,O,0.006229,0.044239,0.07662,412.16,483.43,540.56,1
853,20853,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
870,875,1,0.002244,0.009865,0.00582,185.16,203.68,227.75,1
872,20872,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
875,3481,1,0.007197,0.030609,0.0198,185.16,203.68,227.75,1
880,7654,1,0.0019,0.0108,0.0101,368.1,0.0,0.0,1
880,7655,1,0.0019,0.0108,0.0101,368.1,0.0,0.0,1
883,20883,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
890,5525,1,0.001439,0.011776,0.01413,439.48,483.43,540.56,1
890,7669,1,0.0008,0.0054,0.0053,439.48,483.43,540.56,1
1000,2930,1,0.001796,0.027809,0.68292,2182.28,2400.51,2684.2,1
1000,2950,1,0.0009,0.0151,0.22719,2182.28,2400.51,2684.2,1
1000,2950,2,0.000865,0.015114,0.22719,2182.28,2400.51,2684.2,1
1000,2950,3,0.00077,0.016094,0.30731,2182.28,2400.51,2684.2,1
1020,3921,1,0.000561,0.002885,0.0271,219.74,241.72,270.28,1
1020,3941,1,0.011981,0.058675,0.02812,219.7,241.7,270.3,1
1030,1043,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
1030,3692,R,0.000296,0.002705,0.00207,128.0,0.0,0.0,1
1030,3692,W,0.00031,0.002693,0.00207,128.0,0.0,0.0,1
1050,1090,1,-0.0,0.0004,0.0082,3453.88,3453.88,3695.65,0
1050,2660,1,0.0006,0.0073,0.1472,3453.88,3453.88,3695.65,1
1050,2680,R,0.0001,0.0013,0.1106,3453.88,3453.88,3695.65,1
1051,6111,1,0.0006,0.003,0.3375,557.7,557.7,1306.7,0
1051,6111,2,0.0006,0.003,0.3375,557.72,557.72,1306.74,0
1070,1080,@1,-0.0,0.0001,0.0,2390.0,2390.0,2390.0,1
1070,1080,@2,-0.0,0.0001,0.0,2390.0,0.0,0.0,1
1070,2650,1,0.0006,0.0077,0.1551,2390.23,2390.23,3107.3,1
1080,1090,1,-0.0,0.0001,0.0,2390.2,0.0,0.0,1
1080,2690,1,-0.0,0.00011,0.0,1196.3,1315.9,1471.5,1
1085,21085,1,-0.0,0.0001,0.0,0.0,0.0,0.0,1
1090,2670,W,0.0001,0.0016,0.0327,3453.88,3453.88,3695.65,1
