bus_i,name,base_kv,ide,area,zone,vm,va
1,北部汽電,34.5,2,1,102,0.99682,-26.7716
2,中部汽電,34.5,2,2,104,1.00437,-8.4978
3,南部汽電,34.5,2,3,103,1.01468,-8.7919
10,核一E,345.0,1,1,2,1.00411,-30.3729
15,核一STB,4.16,1,1,2,1.00411,-30.3729
16,核一STBS,4.16,1,1,2,1.00411,-30.3729
25,核二STR.1,13.8,1,1,2,1.00554,-31.0349
26,核二STR.2,13.8,1,1,2,1.00554,-31.0349
27,核二4.16,4.16,1,1,2,1.00554,-31.0349
28,核二4.16,4.16,1,1,2,1.00554,-31.0349
30,核二E,345.0,1,1,2,1.00554,-31.0349
40,龍門E,345.0,4,1,2,1.0,0.0
51,龍門H,161.0,1,1,2,1.00711,-38.3492
53,龍門SST1,11.4,1,1,2,1.00711,-38.3492
54,龍門#1RAT1,4.2,1,1,2,1.00711,-38.3492
55,龍門#1RA2,4.2,1,1,2,1.00711,-38.3492
56,龍門#1ABT,13.8,1,1,2,1.00711,-38.3492
57,龍門#2RAT1,4.16,1,1,2,1.00711,-38.3492
58,龍門#2RA2,4.16,1,1,2,1.00711,-38.3492
59,龍門#2ABT,13.8,1,1,2,1.00711,-38.3492
100,協和E,345.0,1,1,4,1.00808,-30.7635
103,協和#3,18.0,2,1,102,1.0,-27.4435
104,協和#4,18.0,2,1,102,1.0,-27.534
105,協和TUS1,4.16,1,1,4,1.00808,-30.7635
106,協和TUS2,4.16,1,1,4,1.03393,-30.7635
210,林口E,345.0,1,1,6,0.99817,-25.5147
211,林口#1,25.0,2,1,102,0.97,-15.005
212,林口#2,25.0,2,1,102,0.97,-15.4806
213,林口#3,25.0,2,1,102,0.97,-15.0748
216,林口ST1,13.8,1,1,6,0.98585,-25.5147
217,林口ST1,6.9,1,1,6,0.98585,-25.5147
218,林口ST2,13.8,1,1,6,0.98585,-25.5147
219,林口ST2,6.9,1,1,6,0.98585,-25.5147
220,林口H1,161.0,1,1,6,1.00695,-31.2609
226,林口ET2,33.0,1,1,6,1.00695,-31.2609
227,林口ET3,33.0,1,1,6,1.00695,-31.2609
229,林口煤場L,6.9,1,1,6,1.00695,-31.2609
230,林口H2,161.0,1,1,6,1.00695,-31.2609
233,林口D2,23.9,1,1,6,0.99516,-34.1262
236,林口ET1,33.0,1,1,6,1.00695,-31.2609
238,林口TE13-2,13.8,1,1,6,0.99451,-31.2609
239,林口TE13-3,6.9,1,1,6,0.99451,-31.2609
291,大潭甲H,161.0,1,1,8,1.00347,-25.6699
292,大潭乙H,161.0,1,1,8,1.00347,-25.6699
293,大潭丙H,161.0,1,1,8,1.00347,-25.6699
294,大潭丁H,161.0,1,1,6,1.00308,-28.1908
295,大潭戊H,161.0,1,1,6,1.00308,-28.1908
296,大潭T.1,33.0,1,1,8,1.00347,-25.6699
297,大潭T.2,33.0,1,1,8,1.00347,-25.6699
299,大潭BSGT,13.2,1,1,8,1.00347,-25.6699
300,大潭E,345.0,1,1,8,0.98895,-15.824
301,大潭G1-1,16.5,2,1,102,0.97,-18.0711
302,大潭G1-2,16.5,2,1,102,0.97,-18.0041
303,大潭G1-3,16.5,2,1,102,0.97,-18.0089
304,大潭ST1,18.0,2,1,102,0.97,-18.6905
305,大潭G2-1,16.5,2,1,102,0.97,-18.0387
306,大潭G2-2,16.5,2,1,102,0.97,-18.021
307,大潭G2-3,16.5,2,1,102,0.97,-18.0258
308,大潭ST2,18.0,2,1,102,0.97,-18.6596
309,大潭G3-1,16.0,2,1,102,0.98,-8.9404
310,大潭G3-2,16.0,2,1,102,0.98,-8.885
311,大潭ST3,16.0,2,1,102,0.98,-8.6659
312,大潭G4-1,16.0,2,1,102,0.98,-8.8806
313,大潭G4-2,16.0,2,1,102,0.98,-8.9449
314,大潭ST4,16.0,2,1,102,0.98,-8.6804
315,大潭G5-1,16.0,2,1,102,0.98,-8.9519
316,大潭G5-2,16.0,2,1,102,0.98,-8.8927
317,大潭ST5,16.0,2,1,102,0.98,-8.6844
318,大潭G6-1,16.0,2,1,102,0.98,-8.9449
319,大潭G6-2,16.0,2,1,102,0.98,-8.9048
320,大潭ST6,16.0,2,1,102,0.98,-8.6185
321,大潭G7-1,25.0,2,1,102,0.98,-18.1338
322,大潭G7-2,25.0,2,1,102,0.98,-18.0169
323,大潭ST7,16.0,2,1,102,0.98,-18.2591
324,大潭G8-1,26.0,2,1,102,0.98,-6.6171
325,大潭G8-2,26.0,2,1,102,0.98,-6.5766
326,大潭ST8,26.0,2,1,102,0.98,-5.9564
327,大潭G9-1,26.0,2,1,102,0.98,-19.3938
328,大潭G9-2,26.0,2,1,102,0.98,-19.3739
329,大潭ST9,26.0,2,1,102,0.98,-18.8253
410,碧海H,161.0,1,1,1,1.00947,-32.0993
411,碧海#1,13.8,2,1,102,0.96556,-32.0993
450,石門H,161.0,1,1,7,0.99994,-32.3739
451,石門#1,13.8,2,1,102,0.95646,-32.3739
452,石門#2,13.8,2,1,102,0.95646,-32.3739
511,中火H1,161.0,1,2,15,1.00622,-14.9343
513,中火D1,23.9,1,2,15,1.00643,-14.621
516,中火ET1,33.0,1,2,15,1.00707,-14.9894
517,中火ET2,33.0,1,2,15,1.00732,-15.0131
518,中火ET3,33.0,1,2,15,1.00776,-15.0444
521,中火H2,161.0,1,2,15,1.00622,-14.9343
530,中火北E,345.0,1,2,15,1.0004,-14.4601
531,中火#1,22.0,2,2,15,0.95038,-14.4601
532,中火#2,22.0,2,2,15,0.96,-8.8941
533,中火#3,22.0,2,2,15,0.96,-9.5044
534,中火#4,22.0,2,2,15,0.96,-7.7048
535,中火#5,21.5,2,2,15,0.96,5.3952
536,中火#6,21.5,2,2,15,0.96,4.3633
537,中火#7,21.5,2,2,15,0.96,4.054
538,中火#8,21.5,2,2,15,0.96,4.054
539,中火#9,19.0,2,2,15,0.96,-9.4301
