bus_i,gen_id,pg_mw,qg_mvar,qt_mvar,qb_mvar,vs_pu,mbase_mva,status,pmax_mw,pmin_mw
1,1,-11.42,0.0,0.0,0.0,1.0,590.0,1,9999.0,-9999.0
2,1,114.13,0.0,0.0,0.0,1.0,666.8,1,9999.0,-9999.0
3,1,221.96,0.0,0.0,0.0,1.0,666.8,1,9999.0,-9999.0
103,3,245.2,189.205,290.0,-30.0,1.0,590.0,1,485.0,150.0
104,4,245.2,194.497,290.0,-30.0,1.0,588.24,1,485.0,150.0
211,1,752.0,49.276,547.3,-150.0,0.97,1039.0,1,752.0,700.0
212,2,752.0,43.392,547.3,-150.0,0.97,1039.0,1,752.0,700.0
213,3,752.0,47.415,547.3,-150.0,0.97,1039.0,1,752.0,700.0
301,1,146.24,-3.738,114.31,-17.0,0.97,217.0,1,151.5,90.9
302,2,146.24,-1.387,114.31,-17.0,0.97,217.0,1,151.5,90.9
303,3,146.24,-1.401,114.31,-17.0,0.97,217.0,1,151.5,90.9
304,S,261.29,-6.546,185.95,-15.0,0.97,353.0,1,270.7,162.42
305,1,146.24,-3.73,114.31,-17.0,0.97,217.0,1,151.5,90.9
306,2,146.24,-1.432,114.31,-17.0,0.97,217.0,1,151.5,90.9
307,3,146.24,-1.445,114.31,-17.0,0.97,217.0,1,151.5,90.9
308,S,261.29,-6.514,185.95,-15.0,0.97,353.0,1,270.7,162.42
309,1,230.75,42.54,166.99,-93.0,0.98,317.0,1,233.4,140.04
310,2,230.75,42.296,166.99,-93.0,0.98,317.0,1,233.4,140.04
311,S,238.51,43.146,168.57,-90.0,0.98,320.0,1,241.25,144.75
312,1,230.75,42.416,166.99,-93.0,0.98,317.0,1,233.4,140.04
313,2,230.75,42.419,166.99,-93.0,0.98,317.0,1,233.4,140.04
314,S,238.51,43.173,168.57,-90.0,0.98,320.0,1,241.25,144.75
315,1,230.75,42.565,166.99,-93.0,0.98,317.0,1,233.4,140.04
316,2,230.75,42.311,166.99,-93.0,0.98,317.0,1,233.4,140.04
317,S,238.51,43.18,168.57,-90.0,0.98,320.0,1,241.25,144.75
318,1,230.75,42.419,166.99,-93.0,0.98,317.0,1,233.4,140.04
319,2,230.75,42.206,166.99,-93.0,0.98,317.0,1,233.4,140.04
320,S,238.51,43.061,168.57,-90.0,0.98,320.0,1,241.25,144.75
321,1,293.71,-16.882,202.81,-120.27,0.98,385.0,1,327.25,0.0
322,2,293.71,4.175,202.81,-120.27,0.98,385.0,1,327.25,0.0
323,S,292.59,24.927,197.544,-117.094,0.98,375.0,1,326.0,0.0
324,1,355.12,5.73,232.64,-140.51,0.98,450.0,1,366.4,110.0
325,2,355.12,6.109,232.64,-140.51,0.98,450.0,1,366.4,110.0
