bus_i,id,status,pl_mw,ql_mvar
233,1,1,10.101,1.619
513,1,1,12.363,-0.02
652,1,1,142.212,1.984
822,1,1,2.349,0.118
844,1,1,4.325,-0.075
853,1,1,13.188,0.0
872,1,1,6.211,-0.819
883,1,1,5.009,1.449
1123,1,1,20.112,5.092
1583,1,1,57.753,7.861
1593,1,1,36.954,-4.631
1663,1,1,30.893,-0.79
1752,1,1,251.621,53.743
1900,1,1,-4.368,0.0
2003,1,1,25.759,0.907
2032,1,1,9.76,1.388
2042,1,1,0.0,0.0
2133,1,1,16.48,4.596
2143,1,1,19.489,0.512
2162,1,1,304.87,20.624
2173,1,1,38.752,6.435
2183,1,1,17.977,-2.542
2202,1,1,335.94,21.043
2203,1,1,66.127,12.251
2303,1,1,12.003,22.583
2322,1,1,266.426,9.948
2323,1,1,6.148,8.963
2332,1,1,30.158,5.041
2333,1,1,15.154,8.759
2353,1,1,59.223,24.159
2402,1,1,376.139,32.206
2480,1,1,146.778,0.0
2603,1,1,42.753,20.19
2613,1,1,61.917,8.198
2650,1,1,232.256,0.0
2672,1,1,156.766,15.13
2673,1,1,0.0,-2.02
2683,1,1,20.59,5.08
2692,1,1,0.0,0.0
2753,1,1,18.299,6.819
2763,1,1,16.826,8.29
2802,1,1,113.024,-7.76
2803,1,1,46.759,-1.376
2812,1,1,61.897,-3.796
2813,1,1,49.044,-4.761
2853,1,1,0.0,0.0
2862,1,1,164.86,3.182
2863,1,1,0.0,0.0
2902,1,1,108.527,-2.097
2923,1,1,62.001,17.768
2932,1,1,133.003,2.868
2933,1,1,15.794,8.419
2943,1,1,3.262,3.848
2952,1,1,26.151,4.888
2953,1,1,32.85,1.335
3002,1,1,-8.137,2.071
3003,1,1,2.269,2.271
3102,1,1,277.204,15.899
3122,1,1,148.174,8.041
3132,1,1,186.797,54.724
3133,1,1,75.394,0.826
3142,1,1,364.124,32.397
3143,1,1,37.493,5.218
3162,1,1,282.212,11.049
3182,1,1,180.173,16.541
3183,1,1,62.304,6.406
3193,1,1,141.716,7.542
3212,1,1,40.0,5.7
3213,1,1,0.0,0.0
3222,1,1,275.773,18.275
3223,1,1,51.758,-3.066
3232,1,1,182.883,9.908
3242,1,1,274.847,102.1
3243,1,1,105.901,4.74
3282,1,1,153.156,28.044
3283,1,1,51.182,10.162
3292,1,1,121.623,29.348
3293,1,1,60.35,17.131
3302,1,1,281.76,38.38
3303,1,1,60.306,17.122
3322,1,1,351.667,47.134
3323,1,1,51.985,14.505
3342,1,1,158.35,21.115
3352,1,1,140.442,31.601
3362,1,1,185.914,-0.725
3363,1,1,83.14,19.291
3364,1,1,199.888,22.175
3372,1,1,253.007,45.537
3374,2,1,260.105,20.615
3392,1,1,61.897,0.85
3393,1,1,48.652,2.654
3394,1,1,260.855,29.4
3412,1,1,124.083,-18.092
3413,1,1,23.295,-0.076
3422,1,1,146.119,-2.106
3442,1,1,252.469,86.783
3443,1,1,54.537,-0.893
3452,1,1,118.033,-0.469
3453,1,1,37.332,8.437
3462,1,1,67.72,-2.775
3472,1,1,65.624,6.621
3482,1,1,61.266,-0.384
3483,1,1,31.211,8.953
3522,1,1,150.884,-10.177
3523,1,1,94.031,5.4
3532,1,1,272.47,7.683
3552,1,1,453.131,22.32
3553,1,1,37.666,15.089
3662,1,1,580.411,20.08
3663,1,1,55.521,-0.87
3672,1,1,350.651,-3.804
3673,1,1,22.204,-3.602
3682,1,1,501.06,77.652
3683,1,1,60.742,6.85
3694,1,1,82.912,14.002
3702,1,1,393.035,49.08
3722,1,1,297.908,13.935
3723,1,1,10.921,5.877
3732,1,1,133.361,3.782
3733,1,1,82.428,0.964
3762,1,1,369.387,29.698
3763,1,1,93.753,-1.194
3792,1,1,294.027,16.078
3793,1,1,33.316,17.266
3812,1,1,114.741,31.058
3813,1,1,54.399,6.279
3882,1,1,248.114,67.467
3892,1,1,343.913,55.855
3903,1,1,22.937,12.87
3922,1,1,40.506,-7.409
3923,1,1,8.061,0.869
3932,1,1,159.054,24.119
3942,1,1,-20.673,3.728
3952,1,1,213.921,26.928
3953,1,1,25.152,1.375
3972,1,1,10.094,-11.466
3973,1,1,13.563,1.708
4002,1,1,6.979,-1.95
4012,1,1,78.012,18.577
4016,1,1,10.708,2.325
4026,1,1,44.49,4.219
4028,1,1,41.185,10.264
4030,1,1,45.334,-1.203
4048,1,1,70.441,8.112
4108,1,1,116.632,22.494
4110,1,1,112.338,8.769
4112,1,1,45.913,9.684
4114,1,1,129.854,11.693
4116,1,1,56.514,7.883
4118,1,1,4.37,-0.229
4128,1,1,11.36,1.397
4140,1,1,23.531,0.783
4142,1,1,49.018,6.984
4144,1,1,135.348,10.369
4148,1,1,38.31,3.723
4162,1,1,73.471,-11.396
4204,1,1,99.854,15.408
4208,1,1,69.141,2.405
4214,1,1,91.064,5.003
4256,1,1,70.721,2.218
4258,1,1,89.325,10.226
4260,1,1,67.737,1.4
4264,1,1,79.642,2.407
4266,1,1,45.896,4.29
4270,1,1,105.495,7.315
4276,1,1,132.951,6.942
4302,1,1,110.564,10.148
4306,1,1,119.133,10.229
4308,1,1,68.034,0.822
4310,1,1,84.481,6.012
4314,1,1,50.699,3.685
4352,1,1,129.218,2.796
