bus_i,modsw,adjm,status,vswhi,vswlo,swrem,rmpct,binit_mvar
226,0,0,1,1.02,0.985,220,100.0,0.0
227,0,0,1,1.02,0.985,220,100.0,0.0
236,0,0,1,1.02,0.985,230,100.0,0.0
291,0,0,1,1.025,0.9938,0,100.0,-80.0
292,0,0,1,1.025,0.9938,0,100.0,-80.0
296,0,0,1,1.02,0.985,293,100.0,0.0
297,0,0,1,1.02,0.985,293,100.0,0.0
662,0,0,1,1.02,0.985,600,100.0,0.0
663,0,0,1,1.02,0.985,628,100.0,0.0
664,0,0,1,1.02,0.985,601,100.0,0.0
665,0,0,1,1.02,0.985,611,100.0,0.0
853,0,0,1,1.02,0.985,850,100.0,0.0
883,0,0,1,1.02,0.985,880,100.0,0.0
1056,0,0,1,1.02,0.985,1051,100.0,0.0
1057,0,0,0,1.02,0.985,1051,100.0,0.0
1058,0,0,1,1.02,0.985,1051,100.0,0.0
1130,0,0,1,1.0,1.0,0,100.0,-200.0
1135,0,0,1,1.02,0.985,1110,100.0,-40.0
1136,0,0,1,1.02,0.985,1120,100.0,0.0
1137,0,0,1,1.02,0.985,1100,100.0,0.0
1507,0,0,1,1.02,0.985,1501,100.0,0.0
1508,0,0,1,1.02,0.985,1501,100.0,0.0
1509,0,0,1,1.02,0.985,1501,100.0,0.0
1551,0,0,1,1.025,0.9938,0,100.0,79.0
1555,0,0,1,1.02,0.985,1551,100.0,0.0
1556,0,0,0,1.02,0.985,1551,100.0,0.0
1557,0,0,1,1.02,0.985,1551,100.0,0.0
1558,0,0,1,1.02,0.985,1551,100.0,0.0
1559,0,0,1,1.02,0.985,1551,100.0,0.0
1581,0,0,1,1.025,0.9938,0,100.0,0.0
1583,0,0,1,1.02,0.985,1581,100.0,0.0
1586,0,0,1,1.02,0.985,1581,100.0,0.0
1591,0,0,1,1.025,0.9938,0,100.0,0.0
1593,0,0,1,1.02,0.985,1591,100.0,0.0
1596,0,0,1,1.02,0.985,1591,100.0,0.0
1611,0,0,1,1.025,0.985,0,100.0,0.0
1615,0,0,1,1.02,0.985,1611,100.0,0.0
1616,0,0,1,1.025,0.985,1611,100.0,0.0
1656,0,0,1,1.02,0.985,1651,100.0,0.0
1657,0,0,1,1.02,0.985,1651,100.0,0.0
1658,0,0,1,1.02,0.985,1651,100.0,0.0
1663,0,0,1,1.02,0.985,1661,100.0,15.0
1666,0,0,1,1.02,0.985,1661,100.0,0.0
1667,0,0,1,1.02,0.985,1661,100.0,0.0
1701,0,0,1,1.025,0.9938,0,100.0,0.0
1706,0,0,1,1.02,0.985,1701,100.0,0.0
1707,0,0,1,1.02,0.985,1701,100.0,0.0
1711,0,0,1,1.02,0.985,0,100.0,0.0
1716,0,0,1,1.02,0.985,1711,100.0,0.0
1717,0,0,0,1.02,0.985,1711,100.0,0.0
1718,0,0,1,1.02,0.985,1711,100.0,0.0
1752,0,0,1,1.02,0.985,1751,100.0,40.0
1758,0,0,1,1.02,0.985,1751,100.0,0.0
1759,0,0,1,1.02,0.985,1751,100.0,0.0
1761,0,0,1,1.025,0.9938,0,100.0,158.0
1766,0,0,1,1.02,0.985,1761,100.0,0.0
1767,0,0,1,1.02,0.985,1761,100.0,0.0
1768,0,0,1,1.02,0.985,1761,100.0,0.0
1769,0,0,1,1.02,0.985,1781,100.0,0.0
1901,0,0,1,1.025,0.9938,0,100.0,0.0
1905,0,0,1,1.02,0.985,1901,100.0,0.0
1907,0,0,1,1.02,0.985,1901,100.0,0.0
1908,0,0,1,1.02,0.985,1901,100.0,0.0
1909,0,0,1,1.02,0.985,1901,100.0,0.0
1917,0,0,1,1.02,0.985,1911,100.0,0.0
1918,0,0,0,1.02,0.985,1911,100.0,0.0
1919,0,0,0,1.02,0.985,1911,100.0,0.0
1931,0,0,1,1.025,0.9938,0,100.0,0.0
1936,0,0,1,1.02,0.985,1931,100.0,0.0
1937,0,0,0,1.02,0.985,1931,100.0,0.0
1938,0,0,1,1.02,0.985,1931,100.0,0.0
1946,0,0,1,1.02,0.985,1941,100.0,0.0
1947,0,0,1,1.02,0.985,1941,100.0,0.0
1948,0,0,1,1.02,0.985,1941,100.0,0.0
2001,0,0,1,1.025,0.9938,0,100.0,0.0
2003,0,0,1,1.02,0.985,2001,100.0,0.0
2005,0,0,1,1.02,0.985,2001,100.0,0.0
2006,0,0,1,1.02,0.985,2001,100.0,0.0
2007,0,0,0,1.02,0.985,2001,100.0,0.0
2009,0,0,0,1.02,0.985,2001,100.0,0.0
2031,0,0,1,1.025,0.9938,0,100.0,0.0
2036,0,0,1,1.02,0.985,2031,100.0,0.0
2041,0,0,1,1.0,1.0,0,100.0,0.0
2046,0,0,1,1.02,0.985,2031,100.0,0.0
2047,0,0,1,1.02,0.985,2031,100.0,0.0
2108,0,0,0,1.02,0.985,800,100.0,-0.0
2109,0,0,1,1.02,0.985,800,100.0,0.0
2131,0,0,1,1.025,0.9938,0,100.0,0.0
2133,0,0,1,1.02,0.985,2131,100.0,0.0
2137,0,0,1,1.02,0.985,2131,100.0,-40.0
2138,0,0,1,1.02,0.985,2131,100.0,-40.0
2139,0,0,1,1.02,0.985,2131,100.0,0.0
2141,0,0,1,1.025,0.9938,0,100.0,0.0
2143,0,0,1,1.02,0.985,2141,100.0,0.0
2147,0,0,1,1.0,1.0,2141,100.0,0.0
2148,0,0,1,1.02,0.985,2141,100.0,0.0
2149,0,0,1,1.02,0.985,2141,100.0,0.0
2156,0,0,1,1.02,0.985,2151,100.0,0.0
2157,0,0,1,1.02,0.985,2151,100.0,0.0
2162,0,0,1,1.02,0.985,2151,100.0,93.2
2164,0,0,1,1.02,0.985,2151,100.0,0.0
2165,0,0,1,1.02,0.985,2151,100.0,0.0
2166,0,0,1,1.02,0.985,2151,100.0,0.0
2171,0,0,1,1.025,0.9938,0,100.0,0.0
2173,0,0,1,1.02,0.985,2171,100.0,0.0
2176,0,0,1,1.02,0.985,2171,100.0,0.0
2177,0,0,1,1.02,0.985,2171,100.0,0.0
2178,0,0,1,1.02,0.985,2171,100.0,0.0
2181,0,0,1,1.025,0.9938,0,100.0,0.0
2186,0,0,1,1.02,0.985,2181,100.0,0.0
2187,0,0,1,1.02,0.985,2181,100.0,0.0
2188,0,0,1,1.025,0.985,2181,100.0,0.0
2202,0,0,1,1.02,0.985,2201,100.0,60.0
