from_bus,to_bus,mid_bus,ckt,name,status,hv_bus,mv_bus,lv_bus,vn_hv_kv,vn_mv_kv,vn_lv_kv,sn_hv_mva,sn_mv_mva,sn_lv_mva,shift_hv_deg,shift_mv_deg,shift_lv_deg,r_hv_pu,x_hv_pu,r_mv_pu,x_mv_pu,r_lv_pu,x_lv_pu,vk_hv_pct,vkr_hv_pct,vk_mv_pct,vkr_mv_pct,vk_lv_pct,vkr_lv_pct,r12_pu,x12_pu,sbase12_mva,r23_pu,x23_pu,sbase23_mva,r31_pu,x31_pu,sbase31_mva,vmstar,anstar
30,25,28,1,核二 STR1                               ,1,30,25,28,345.0,13.8,4.16,38.6,19.7,18.9,0.0,0.0,0.0,0.006165803108808293,-0.059922279792746225,0.012953367875647666,0.6045595854922281,0.01476683937823834,0.7307512953367876,2.313000000000004,0.23800000000000013,11.909823834196894,0.25518134715025903,13.811199481865286,0.2790932642487046,0.00738,0.21023,38.6,0.0107,0.51543,38.6,0.00808,0.25894,38.6,1.00554,-31.0349
30,26,27,2,核二 STR2                               ,1,30,26,27,345.0,13.8,4.16,38.6,19.7,18.9,0.0,0.0,0.0,0.0006735751295336781,0.021813471502590498,0.03354922279792746,0.9863730569948187,0.03489637305699481,0.9963989637305699,1.0,0.025999999999999975,19.431549222797926,0.6609196891191709,18.83194041450777,0.6595414507772019,0.01321,0.38916,38.6,0.02642,0.76535,38.6,0.01373,0.39303,38.6,1.00554,-31.0349
210,230,236,1,林口 E.T1                               ,4,210,230,236,345.0,161.0,33.0,500.0,500.0,90.0,0.0,0.0,0.0,3.9999999999999996e-05,0.008339999999999997,3.9999999999999996e-05,-0.0014799999999999987,0.0005,0.030840000000000003,4.169999999999998,0.019999999999999997,1.0,0.019999999999999997,2.7756000000000003,0.045,0.0004,0.0343,500.0,0.0027,0.1468,500.0,0.0027,0.1959,500.0,1.00695,-31.2609
210,220,226,2,林口 E.T2                               ,4,210,220,226,345.0,161.0,33.0,500.0,500.0,90.0,0.0,0.0,0.0,3.9999999999999996e-05,0.008339999999999997,3.9999999999999996e-05,-0.0014799999999999987,0.0005,0.030840000000000003,4.169999999999998,0.019999999999999997,1.0,0.019999999999999997,2.7756000000000003,0.045,0.0004,0.0343,500.0,0.0027,0.1468,500.0,0.0027,0.1959,500.0,1.00695,-31.2609
210,220,227,3,林口 E.T3                               ,4,210,220,227,345.0,161.0,33.0,500.0,500.0,90.0,0.0,0.0,0.0,4.0000099999999976e-05,0.008290000000000004,4.0000099999999976e-05,-0.0015100000000000044,0.0004999999,0.030710000000000005,4.145000000000002,0.020000049999999988,1.0,0.020000049999999988,2.7639000000000005,0.044999990999999996,0.000400001,0.0339,500.0,0.0027,0.146,500.0,0.0027,0.195,500.0,1.00695,-31.2609
210,216,217,1,林口 S.T1                               ,1,210,216,217,345.0,13.8,6.9,60.8,15.8,45.0,0.0,0.0,0.0,0.0014990000000000003,0.188965,0.0023339999999999997,-0.0005340000000000067,0.0046110000000000005,0.17901,11.489071999999998,0.09113920000000002,1.0,0.0368772,8.05545,0.207495,0.003833,0.188431,100.0,0.006945,0.178476,100.0,0.00611,0.367975,100.0,0.98585,-25.5147
210,218,219,1,林口 S.T2                               ,1,210,218,219,345.0,13.8,6.9,57.0,36.0,21.0,0.0,0.0,0.0,0.003349999999999999,0.24385,0.006150000000000001,0.0007500000000000007,0.00525,0.17275000000000001,13.89945,0.19094999999999993,1.0,0.22140000000000004,3.6277500000000003,0.11025,0.0095,0.2446,100.0,0.0114,0.1735,100.0,0.0086,0.4166,100.0,0.98585,-25.5147
230,238,239,1,林口 TE-13                              ,1,230,238,239,161.0,13.8,6.9,57.0,36.0,21.0,0.0,0.0,0.0,0.0024456140350877214,0.06511315789473682,0.009250877192982454,0.37147982456140344,0.006754385964912279,0.3710377192982456,3.7114499999999984,0.1394000000000001,13.373273684210524,0.33303157894736835,7.791792105263157,0.14184210526315785,0.006667,0.248858,57.0,0.009123,0.423235,57.0,0.005244,0.248606,57.0,0.99451,-31.2609
300,293,296,1,大潭 E.T1                               ,4,300,293,296,345.0,161.0,33.0,500.0,500.0,90.0,0.0,0.0,0.0,5.988023952095808e-05,0.007185628742514973,1.9960079840319325e-05,-0.00043912175648702645,0.0005788423153692614,0.03087824351297405,3.5928143712574863,0.029940119760479042,1.0,0.009980039920159663,2.7790419161676643,0.05209580838323353,0.0004,0.0338,501.0,0.003,0.1525,501.0,0.0032,0.1907,501.0,1.00347,-25.6699
300,293,297,2,大潭 E.T2                               ,4,300,293,297,345.0,161.0,33.0,500.0,500.0,90.0,0.0,0.0,0.0,5.988023952095808e-05,0.0071756487025948085,1.9960079840319325e-05,-0.000409181636726548,0.0005788423153692614,0.03086826347305389,3.5878243512974044,0.029940119760479042,1.0,0.009980039920159663,2.7781437125748503,0.05209580838323353,0.0004,0.0339,501.0,0.003,0.1526,501.0,0.0032,0.1906,501.0,1.00347,-25.6699
511,542,543,1,中火GT12                                ,1,511,542,543,161.0,13.8,13.8,200.0,100.0,100.0,0.0,0.0,0.0,0.00017495749999999984,-0.00010354999999999913,0.0014750574999999998,0.012887,0.0015250175,0.01284345,1.0,0.03499149999999997,1.2887,0.14750575,1.2843449999999998,0.15250175,0.00330003,0.0255669,200.0,0.00600015,0.0514609,200.0,0.00339995,0.0254798,200.0,1.00622,-14.9343
511,544,545,2,中火GT34                                ,1,511,544,545,161.0,13.8,13.8,200.0,100.0,100.0,0.0,0.0,0.0,0.0001249974999999999,-0.0003374999999999975,0.0015250175,0.058925,0.0015250175,0.059175,1.0,0.02499949999999998,5.8925,0.15250175,5.9174999999999995,0.15250175,0.00330003,0.117175,200.0,0.00610007,0.2362,200.0,0.00330003,0.117675,200.0,1.00622,-14.9343
530,511,516,1,中火北 E.T1                             ,1,530,511,516,345.0,161.0,33.0,500.0,500.0,90.0,0.0,0.0,0.0,3.400000000000001e-05,0.005454000000000002,5.399999999999996e-05,-0.000614,0.00046199999999999995,0.030786,2.727000000000001,0.017000000000000008,1.0,0.02699999999999998,2.77074,0.04158,0.00044,0.0242,500.0,0.00258,0.15086,500.0,0.00248,0.1812,500.0,1.00707,-14.9894
