fuel_type,plant_name,unit_name,pmax_kw,pmax_mw,total_outage_hr,planned_outage_hr,unplanned_outage_hr,n_unplanned_events,service_hr,for_rate,mttr_hr,mu_per_hr,lambda_per_hr
地熱,仁澤地熱發電站,#1,840,0.84,2016.68,702.72,1313.97,3,6743.32,0.163078,437.99,0.00228316,0.00044488
抽蓄水力,大觀電廠,大觀(二)#1,250000,250.0,804.2,804.2,0.0,0,7955.8,0.001,72.0,0.01388889,1.39e-05
抽蓄水力,大觀電廠,大觀(二)#2,250000,250.0,1693.52,1693.52,0.0,0,7066.48,0.001,72.0,0.01388889,1.39e-05
抽蓄水力,大觀電廠,大觀(二)#3,250000,250.0,496.43,496.43,0.0,0,8263.57,0.001,72.0,0.01388889,1.39e-05
抽蓄水力,大觀電廠,大觀(二)#4,250000,250.0,327.52,327.52,0.0,0,8432.48,0.001,72.0,0.01388889,1.39e-05
抽蓄水力,明潭電廠,明潭#1,267000,267.0,327.05,327.05,0.0,0,8432.95,0.001,72.0,0.01388889,1.39e-05
抽蓄水力,明潭電廠,明潭#2,267000,267.0,279.63,279.63,0.0,0,8480.37,0.001,72.0,0.01388889,1.39e-05
抽蓄水力,明潭電廠,明潭#3,267000,267.0,355.9,355.9,0.0,0,8404.1,0.001,72.0,0.01388889,1.39e-05
抽蓄水力,明潭電廠,明潭#4,267000,267.0,448.18,448.18,0.0,0,8311.82,0.001,72.0,0.01388889,1.39e-05
抽蓄水力,明潭電廠,明潭#5,267000,267.0,1832.25,1832.25,0.0,0,6927.75,0.001,72.0,0.01388889,1.39e-05
抽蓄水力,明潭電廠,明潭#6,267000,267.0,3537.6,3537.6,0.0,0,5222.4,0.001,72.0,0.01388889,1.39e-05
燃氣,南部電廠,南複#4GT,248000,248.0,627.7,500.38,127.32,1,8132.3,0.015414,127.32,0.00785443,0.00012297
燃氣,南部電廠,南複GT1-1,86500,86.5,337.02,335.65,1.37,1,8422.98,0.001,1.37,0.73170732,0.00073244
燃氣,南部電廠,南複GT1-2,86500,86.5,317.6,316.23,1.37,1,8442.4,0.001,1.37,0.73170732,0.00073244
燃氣,南部電廠,南複GT2-1,86500,86.5,3552.53,3549.43,3.1,1,5207.47,0.001,3.1,0.32258065,0.0003229
燃氣,南部電廠,南複GT2-2,86500,86.5,3051.48,3051.48,0.0,0,5708.52,0.001,72.0,0.01388889,1.39e-05
