unit_name,capacity_kw,capacity_mw,startup_cost_ntd,fuel_type,formula_raw,hr_a,hr_b,hr_c,fuel_type_hr,fuel_price_ntd_kcal,opf_c2,opf_c1,opf_c0
協和#3,500000.0,500.0,1622699.0,oil,y = 0.0005x2 + 1.8688x + 125.08,0.0005,1.8688,125.08,oil,0.0018,0.0009,3.3638399999999997,225.144
協和#4,500000.0,500.0,1631036.0,oil,y = -0.0002x2 + 2.1977x + 84.411,-0.0002,2.1977,84.411,oil,0.0018,-0.00036,3.9558600000000004,151.9398
林口#1,800000.0,800.0,6532887.0,coal,y = -0.0011x2 + 2.9407x + 97.561,-0.0011,2.9407,97.561,coal,0.00055,-0.0006050000000000001,1.6173850000000003,53.658550000000005
林口#2,800000.0,800.0,6532887.0,coal,y = -0.0012x2 + 3.1284x + 59.903,-0.0012,3.1284,59.903,coal,0.00055,-0.00066,1.7206200000000003,32.946650000000005
林口#3,800000.0,800.0,6532887.0,coal,y = -0.0012x2 + 3.0931x + 59.248,-0.0012,3.0931,59.248,coal,0.00055,-0.00066,1.7012050000000003,32.586400000000005
大潭GT1-1,153500.0,153.5,470324.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
大潭GT1-2,153500.0,153.5,479498.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
大潭GT1-3,153500.0,153.5,470324.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
大潭GT2-1,153500.0,153.5,470324.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
大潭GT2-2,153500.0,153.5,479498.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
大潭GT2-3,153500.0,153.5,483970.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
大潭GT3-1,233900.0,233.9,472141.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
大潭GT3-2,233900.0,233.9,463445.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
大潭GT4-1,233900.0,233.9,472141.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
大潭GT4-2,233900.0,233.9,463445.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
大潭GT5-1,233900.0,233.9,472141.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
大潭GT5-2,233900.0,233.9,463445.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
大潭GT6-1,233900.0,233.9,472141.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
大潭GT6-2,233900.0,233.9,418893.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
大潭GT8-1,366395.0,366.395,55999.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
大潭GT8-2,366395.0,366.395,2752.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
大潭ST1,282200.0,282.2,33658.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
大潭ST2,282200.0,282.2,47304.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
大潭ST3,256900.0,256.9,47304.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
大潭ST4,256900.0,256.9,47304.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
大潭ST5,256900.0,256.9,47304.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
大潭ST6,256900.0,256.9,2752.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
大潭ST8,390839.0,390.839,2752.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
通霄GT1-1,290100.0,290.1,107227.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
通霄GT1-2,290100.0,290.1,107227.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
通霄GT2-1,290100.0,290.1,107227.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
通霄GT2-2,290100.0,290.1,107227.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
通霄GT3-1,290100.0,290.1,107227.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
通霄GT3-2,290100.0,290.1,107227.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
通霄GT6-1,106000.0,106.0,30779.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
通霄GT6-2,106000.0,106.0,30779.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
通霄ST1,312400.0,312.4,460221.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
通霄ST2,312400.0,312.4,460221.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
通霄ST3,312400.0,312.4,460221.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
通霄ST4,128000.0,128.0,232329.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
通霄ST5,128000.0,128.0,232329.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
通霄ST6,109200.0,109.2,218865.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
台中#1,550000.0,550.0,2677801.0,coal,y = 0.0004x2 + 1.8826x + 157.29,0.0004,1.8826,157.29,coal,0.00055,0.00022000000000000003,1.03543,86.5095
台中#2,550000.0,550.0,2610550.0,coal,y = 0.0003x2 + 2.0392x + 137.46,0.0003,2.0392,137.46,coal,0.00055,0.000165,1.1215600000000001,75.60300000000001
台中#3,550000.0,550.0,2678605.0,coal,y = 0.0003x2 + 2.0392x + 137.46,0.0003,2.0392,137.46,coal,0.00055,0.000165,1.1215600000000001,75.60300000000001
台中#4,550000.0,550.0,2675871.0,coal,y = 0.0004x2 + 1.8268x + 157.82,0.0004,1.8268,157.82,coal,0.00055,0.00022000000000000003,1.00474,86.801
台中#5,550000.0,550.0,2675711.0,coal,y = 0.0004x2 + 1.8186x + 157.62,0.0004,1.8186,157.62,coal,0.00055,0.00022000000000000003,1.00023,86.691
台中#6,550000.0,550.0,2725550.0,coal,y = 0.0004x2 + 1.8647x + 155.28,0.0004,1.8647,155.28,coal,0.00055,0.00022000000000000003,1.0255850000000002,85.40400000000001
台中#7,550000.0,550.0,2726354.0,coal,y = 0.0004x2 + 1.8544x + 160.3,0.0004,1.8544,160.3,coal,0.00055,0.00022000000000000003,1.0199200000000002,88.165
台中#8,550000.0,550.0,2726675.0,coal,y = 0.0005x2 + 1.7564x + 179.46,0.0005,1.7564,179.46,coal,0.00055,0.000275,0.96602,98.703
台中#9,550000.0,550.0,2725389.0,coal,y = 0.0006x2 + 1.6459x + 230.78,0.0006,1.6459,230.78,coal,0.00055,0.00033,0.905245,126.929
台中#10,550000.0,550.0,2609907.0,coal,y = 0.0005x2 + 1.7296x + 216.03,0.0005,1.7296,216.03,coal,0.00055,0.000275,0.9512800000000001,118.8165
興達GT1-1,90830.0,90.83,2604.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
興達GT1-2,90830.0,90.83,2604.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
興達GT1-3,90830.0,90.83,2604.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
興達GT2-1,90830.0,90.83,2604.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
興達GT2-2,90830.0,90.83,2604.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
興達GT2-3,90830.0,90.83,2604.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
興達GT3-1,90830.0,90.83,2604.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
興達GT3-2,90830.0,90.83,2604.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
興達GT3-3,90830.0,90.83,2604.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
興達GT4-1,90830.0,90.83,2604.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
興達GT4-2,90830.0,90.83,2604.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
興達GT4-3,90830.0,90.83,2604.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
興達GT5-1,90830.0,90.83,2604.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
興達GT5-2,90830.0,90.83,2604.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
興達GT5-3,90830.0,90.83,2604.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
興達ST1,172700.0,172.7,55256.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
興達ST2,172700.0,172.7,55256.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
興達ST3,172700.0,172.7,55256.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
興達ST4,172700.0,172.7,55256.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
興達ST5,172700.0,172.7,55256.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
南部GT1-1,89400.0,89.4,11534.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
南部GT1-2,89400.0,89.4,11534.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
南部GT2-1,89400.0,89.4,11534.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
南部GT2-2,89400.0,89.4,11534.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
南部GT3-1,89400.0,89.4,11534.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
南部GT3-2,89400.0,89.4,11534.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
南部GT4-1,251400.0,251.4,234226.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
南部ST1,110000.0,110.0,771202.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
南部ST2,110000.0,110.0,771202.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
南部ST3,110000.0,110.0,771202.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
南部ST4,,,237975.0,gas,,,,,,0.0012,0.0,1.68,239.99999999999997
大林#1,800000.0,800.0,5860442.0,coal,y = 5E-05x2 + 1.8711x + 182.21,5e-05,1.8711,182.21,coal,0.00055,2.7500000000000004e-05,1.029105,100.2155
大林#2,800000.0,800.0,5860442.0,coal,y = 4E-05x2 + 1.8765x + 174.76,4e-05,1.8765,174.76,coal,0.00055,2.2000000000000003e-05,1.032075,96.11800000000001
大林#6,550000.0,550.0,3078137.0,coal,y = 0.0002x2 + 1.9843x + 139.82,0.0002,1.9843,139.82,coal,0.00055,0.00011000000000000002,1.0913650000000001,76.90100000000001
