unit_name,formula_raw,hr_a,hr_b,hr_c,fuel_type,fuel_price_ntd_kcal,opf_c2,opf_c1,opf_c0
協和#3,y = 0.0005x2 + 1.8688x + 125.08,0.0005,1.8688,125.08,oil,0.0018,0.0009,3.3638399999999997,225.144
協和#4,y = -0.0002x2 + 2.1977x + 84.411,-0.0002,2.1977,84.411,oil,0.0018,-0.00036,3.9558600000000004,151.9398
林口#1,y = -0.0011x2 + 2.9407x + 97.561,-0.0011,2.9407,97.561,coal,0.00055,-0.0006050000000000001,1.6173850000000003,53.658550000000005
林口#2,y = -0.0012x2 + 3.1284x + 59.903,-0.0012,3.1284,59.903,coal,0.00055,-0.00066,1.7206200000000003,32.946650000000005
林口#3,y = -0.0012x2 + 3.0931x + 59.248,-0.0012,3.0931,59.248,coal,0.00055,-0.00066,1.7012050000000003,32.586400000000005
大潭CC#1(3+1),y = -2E-07x2 + 1.2345x + 400.38,-2e-07,1.2345,400.38,gas,0.0012,-2.4e-07,1.4813999999999998,480.45599999999996
大潭CC#2(3+1),y = -5E-07x2 + 1.2501x + 383.72,-5e-07,1.2501,383.72,gas,0.0012,-6e-07,1.5001199999999997,460.46399999999994
大潭CC#3(2+1),y = 2E-07x2 + 1.4027x + 206.18,2e-07,1.4027,206.18,gas,0.0012,2.4e-07,1.6832399999999998,247.41599999999997
大潭CC#4(2+1),y = -4E-07x2 + 1.4168x + 209.53,-4e-07,1.4168,209.53,gas,0.0012,-4.8e-07,1.70016,251.43599999999998
大潭CC#5(2+1),y = 1E-07x2 + 1.4921x + 165.73,1e-07,1.4921,165.73,gas,0.0012,1.2e-07,1.7905199999999997,198.87599999999998
大潭CC#6(2+1),y = -7E-07x2 + 1.4434x + 195.46,-7e-07,1.4434,195.46,gas,0.0012,-8.399999999999999e-07,1.73208,234.552
通霄CC#1(2+1),y = 0.0004x2 + 0.7728x + 402.46,0.0004,0.7728,402.46,gas,0.0012,0.00047999999999999996,0.92736,482.95199999999994
通霄CC#2(2+1),y = 0.0004x2 + 0.8253x + 356.86,0.0004,0.8253,356.86,gas,0.0012,0.00047999999999999996,0.99036,428.23199999999997
通霄CC#3(2+1),y = 0.0002x2 + 1.0794x + 289.01,0.0002,1.0794,289.01,gas,0.0012,0.00023999999999999998,1.2952799999999998,346.81199999999995
通霄CC#6(2+1),y = 0.001x2 + 0.9939x + 191.5,0.001,0.9939,191.5,gas,0.0012,0.0012,1.19268,229.79999999999998
台中#1,y = 0.0004x2 + 1.8826x + 157.29,0.0004,1.8826,157.29,coal,0.00055,0.00022000000000000003,1.03543,86.5095
台中#2,y = 0.0003x2 + 2.0392x + 137.46,0.0003,2.0392,137.46,coal,0.00055,0.000165,1.1215600000000001,75.60300000000001
台中#3,y = 0.0003x2 + 2.0392x + 137.46,0.0003,2.0392,137.46,coal,0.00055,0.000165,1.1215600000000001,75.60300000000001
