unit_name,capacity_kw,capacity_mw,startup_cost_ntd,fuel_type
協和#3,500000.0,500.0,1622699.0,oil
協和#4,500000.0,500.0,1631036.0,oil
林口#1,800000.0,800.0,6532887.0,coal
林口#2,800000.0,800.0,6532887.0,coal
林口#3,800000.0,800.0,6532887.0,coal
大潭GT1-1,153500.0,153.5,470324.0,gas
大潭GT1-2,153500.0,153.5,479498.0,gas
大潭GT1-3,153500.0,153.5,470324.0,gas
大潭GT2-1,153500.0,153.5,470324.0,gas
大潭GT2-2,153500.0,153.5,479498.0,gas
大潭GT2-3,153500.0,153.5,483970.0,gas
大潭GT3-1,233900.0,233.9,472141.0,gas
大潭GT3-2,233900.0,233.9,463445.0,gas
大潭GT4-1,233900.0,233.9,472141.0,gas
大潭GT4-2,233900.0,233.9,463445.0,gas
大潭GT5-1,233900.0,233.9,472141.0,gas
大潭GT5-2,233900.0,233.9,463445.0,gas
大潭GT6-1,233900.0,233.9,472141.0,gas
大潭GT6-2,233900.0,233.9,418893.0,gas
大潭GT8-1,366395.0,366.395,55999.0,gas
大潭GT8-2,366395.0,366.395,2752.0,gas
大潭ST1,282200.0,282.2,33658.0,gas
大潭ST2,282200.0,282.2,47304.0,gas
大潭ST3,256900.0,256.9,47304.0,gas
大潭ST4,256900.0,256.9,47304.0,gas
大潭ST5,256900.0,256.9,47304.0,gas
大潭ST6,256900.0,256.9,2752.0,gas
大潭ST8,390839.0,390.839,2752.0,gas
通霄GT1-1,290100.0,290.1,107227.0,gas
通霄GT1-2,290100.0,290.1,107227.0,gas
通霄GT2-1,290100.0,290.1,107227.0,gas
通霄GT2-2,290100.0,290.1,107227.0,gas
通霄GT3-1,290100.0,290.1,107227.0,gas
通霄GT3-2,290100.0,290.1,107227.0,gas
通霄GT6-1,106000.0,106.0,30779.0,gas
通霄GT6-2,106000.0,106.0,30779.0,gas
通霄ST1,312400.0,312.4,460221.0,gas
通霄ST2,312400.0,312.4,460221.0,gas
通霄ST3,312400.0,312.4,460221.0,gas
通霄ST4,128000.0,128.0,232329.0,gas
通霄ST5,128000.0,128.0,232329.0,gas
通霄ST6,109200.0,109.2,218865.0,gas
台中#1,550000.0,550.0,2677801.0,coal
台中#2,550000.0,550.0,2610550.0,coal
台中#3,550000.0,550.0,2678605.0,coal
台中#4,550000.0,550.0,2675871.0,coal
台中#5,550000.0,550.0,2675711.0,coal
台中#6,550000.0,550.0,2725550.0,coal
台中#7,550000.0,550.0,2726354.0,coal
台中#8,550000.0,550.0,2726675.0,coal
台中#9,550000.0,550.0,2725389.0,coal
台中#10,550000.0,550.0,2609907.0,coal
興達GT1-1,90830.0,90.83,2604.0,gas
興達GT1-2,90830.0,90.83,2604.0,gas
興達GT1-3,90830.0,90.83,2604.0,gas
興達GT2-1,90830.0,90.83,2604.0,gas
興達GT2-2,90830.0,90.83,2604.0,gas
興達GT2-3,90830.0,90.83,2604.0,gas
興達GT3-1,90830.0,90.83,2604.0,gas
興達GT3-2,90830.0,90.83,2604.0,gas
興達GT3-3,90830.0,90.83,2604.0,gas
興達GT4-1,90830.0,90.83,2604.0,gas
興達GT4-2,90830.0,90.83,2604.0,gas
興達GT4-3,90830.0,90.83,2604.0,gas
興達GT5-1,90830.0,90.83,2604.0,gas
興達GT5-2,90830.0,90.83,2604.0,gas
興達GT5-3,90830.0,90.83,2604.0,gas
興達ST1,172700.0,172.7,55256.0,gas
興達ST2,172700.0,172.7,55256.0,gas
興達ST3,172700.0,172.7,55256.0,gas
興達ST4,172700.0,172.7,55256.0,gas
興達ST5,172700.0,172.7,55256.0,gas
南部GT1-1,89400.0,89.4,11534.0,gas
南部GT1-2,89400.0,89.4,11534.0,gas
南部GT2-1,89400.0,89.4,11534.0,gas
南部GT2-2,89400.0,89.4,11534.0,gas
南部GT3-1,89400.0,89.4,11534.0,gas
南部GT3-2,89400.0,89.4,11534.0,gas
南部GT4-1,251400.0,251.4,234226.0,gas
南部ST1,110000.0,110.0,771202.0,gas
南部ST2,110000.0,110.0,771202.0,gas
南部ST3,110000.0,110.0,771202.0,gas
南部ST4,,,237975.0,gas
大林#1,800000.0,800.0,5860442.0,coal
大林#2,800000.0,800.0,5860442.0,coal
大林#6,550000.0,550.0,3078137.0,coal
