comp_type,comp_name,voltage_code,max_hf,sum_storm_lambda,base_lambda,n_disasters,total_outage_hr,disasters,composite_hf
line,中壢～六機線,L,1.9167,0.091667,0.1,1,11.0,康芮,1.9167
line,中寮~彌力線,L,1.0104,0.001042,0.1,1,0.25,丹娜絲,1.0104
line,中寮～嘉民一路,L,1.0,0.0,0.1,1,0.0,小犬,1.0
line,中港-沙鹿線,L,1.0198,0.001979,0.1,1,1.27,小犬,1.0198
line,仙渡~頂湖二路,L,1.1236,0.020694,0.1,1,2.48,康芮,1.2069
line,北投~興仁線,L,1.0014,0.000139,0.1,1,0.02,康芮,1.0014
line,北港~澎湖、四湖一路,L,1.0931,0.009306,0.1,1,2.23,丹娜絲,1.0931
line,北港～台西線,L,1.0771,0.007708,0.1,1,4.93,小犬,1.0771
line,北港～新港二路,L,1.0007,6.9e-05,0.1,1,0.02,丹娜絲,1.0007
line,南港～深坑、中研線,L,1.1764,0.017639,0.1,1,2.12,康芮,1.1764
line,博嘉～木柵線,L,1.0569,0.005694,0.1,1,0.68,康芮,1.0569
line,博嘉～深坑、木柵線,L,1.0569,0.005694,0.1,1,0.68,康芮,1.0569
line,台南～保安線,L,1.6264,0.062639,0.1,1,7.52,凱米,1.6264
line,台康~新營、大寮一路,L,1.0035,0.000347,0.1,1,0.08,丹娜絲,1.0035
line,台東~知本、 加津線,L,1.0365,0.003646,0.1,1,2.33,小犬,1.0365
line,台東～東河線,L,1.1216,0.012161,0.1,1,7.78,小犬,1.1216
line,合豐光~枋山、恆春線,L,1.0771,0.007708,0.1,1,4.93,小犬,1.0771
line,后里~義和 紅線,L,1.0,0.0,0.1,1,0.0,凱米,1.0
line,后里~義和紅線,L,1.0,0.0,0.1,1,0.0,凱米,1.0
line,和仁~蘇東線,L,1.0556,0.005556,0.1,1,0.67,凱米,1.0556
line,和平~冬山白線,L,1.0083,0.000833,0.1,1,0.1,凱米,1.0083
line,和平~冬山紅線,L,1.0028,0.000278,0.1,1,0.03,康芮,1.0028
line,善化~善啤 得力分歧線,L,1.0008,7.8e-05,0.1,1,0.05,小犬,1.0008
line,嘉太～朴子線,L,1.1333,0.013333,0.1,1,3.2,丹娜絲,1.1333
line,嘉民～柳營山線,L,1.0535,0.005347,0.1,1,1.28,丹娜絲,1.0535
line,嘉民～龍崎紅線,L,1.0,0.0,0.1,1,0.0,丹娜絲,1.0
line,嘉義~新營、山上白線,L,1.0,0.0,0.1,1,0.0,丹娜絲,1.0
line,嘉義～三和線,L,1.0278,0.002778,0.1,1,0.67,丹娜絲,1.0278
line,嘉義～仁愛山線,L,1.05,0.005,0.1,1,1.2,丹娜絲,1.05
