comp_type,comp_name,disaster,disaster_en,voltage_code,district,n_events,outage_hours,base_lambda,storm_lambda,hazard_factor
transformer,義竹,丹娜絲,Typhoon Dana,D,嘉義區營業處,1,38.48,0.05,0.080174,2.6035
transformer,博愛,丹娜絲,Typhoon Dana,S,嘉義區營業處,1,39.07,0.025,0.040694,2.6278
transformer,和睦,丹娜絲,Typhoon Dana,S,嘉義區營業處,1,38.75,0.025,0.040365,2.6146
transformer,嘉埔,丹娜絲,Typhoon Dana,S,嘉義區營業處,1,39.67,0.025,0.041319,2.6528
transformer,奮起,丹娜絲,Typhoon Dana,S,嘉義區營業處,1,15.68,0.025,0.016337,1.6535
transformer,新塭,丹娜絲,Typhoon Dana,S,嘉義區營業處,1,45.38,0.025,0.047274,2.891
transformer,北嶺,凱米,Typhoon Gaemi,D,高屏供電區處,1,0.0,0.05,0.0,1.0
transformer,楠梓,凱米,Typhoon Gaemi,D,高屏供電區處,2,0.07,0.05,0.000278,1.0056
transformer,經貿,凱米,Typhoon Gaemi,D,高屏供電區處,1,0.0,0.05,0.0,1.0
transformer,雲高,小犬,Typhoon Koinu,C,嘉南供電區處,1,0.08,0.035,4.6e-05,1.0013
transformer,蘭嶼,小犬,Typhoon Koinu,S,台東區營業處,4,2.35,0.025,0.000918,1.0367
transformer,錦水,小犬,Typhoon Koinu,S,苗栗區營業處,3,0.1,0.025,3.9e-05,1.0016
transformer,勝安,康芮,Typhoon Kong-rey,D,花蓮區營業處,1,8.13,0.05,0.033889,1.6778
transformer,台西,康芮,Typhoon Kong-rey,D,嘉南供電區處,1,7.17,0.05,0.029861,1.5972
transformer,初英,康芮,Typhoon Kong-rey,G,花蓮區營業處,1,8.52,0.015,0.010646,1.7097
transformer,溪口,康芮,Typhoon Kong-rey,G,花蓮區營業處,1,7.08,0.015,0.008854,1.5903
transformer,立霧,康芮,Typhoon Kong-rey,G,花蓮區營業處,1,7.35,0.015,0.009187,1.6125
transformer,花蓮,康芮,Typhoon Kong-rey,P,花蓮區營業處,1,8.22,0.015,0.010271,1.6847
transformer,九德,康芮,Typhoon Kong-rey,S,台中供電區處,2,5.72,0.025,0.01191,1.4764
transformer,富里,康芮,Typhoon Kong-rey,S,花蓮區營業處,3,3.98,0.025,0.008299,1.3319
transformer,烏來,康芮,Typhoon Kong-rey,S,北南區營業處,2,43.1,0.025,0.089792,4.5917
transformer,美崙,康芮,Typhoon Kong-rey,S,花蓮區營業處,1,8.17,0.025,0.017014,1.6806
transformer,花市,康芮,Typhoon Kong-rey,S,花蓮區營業處,1,9.53,0.025,0.019861,1.7944
transformer,花港,康芮,Typhoon Kong-rey,S,花蓮區營業處,1,9.38,0.025,0.019549,1.7819
line,中寮~彌力線,丹娜絲,Typhoon Dana,L,台中供電區處,1,0.25,0.1,0.001042,1.0104
line,北港~澎湖、四湖一路,丹娜絲,Typhoon Dana,L,嘉南供電區處,1,2.23,0.1,0.009306,1.0931
line,北港～新港二路,丹娜絲,Typhoon Dana,L,嘉南供電區處,1,0.02,0.1,6.9e-05,1.0007
line,台康~新營、大寮一路,丹娜絲,Typhoon Dana,L,嘉南供電區處,2,0.08,0.1,0.000347,1.0035
line,嘉太～朴子線,丹娜絲,Typhoon Dana,L,嘉南供電區處,1,3.2,0.1,0.013333,1.1333
line,嘉民～柳營山線,丹娜絲,Typhoon Dana,L,嘉南供電區處,2,1.28,0.1,0.005347,1.0535
