disaster,district,line_name,phase,fault_time,restore_time
丹娜絲,台中供電區處,中寮~彌力線 ,S,2025-07-07 01:21:00,2025-07-07 01:36:00
丹娜絲,台中供電區處,天輪～龍崎海線,R,2025-07-07 01:11:00,2025-07-07 06:26:00
丹娜絲,台中供電區處,天輪～龍崎海線,R,2025-07-07 23:56:00,2025-07-07 23:57:00
丹娜絲,台中供電區處,萬大～鉅工線,T,2025-07-07 02:05:00,2025-07-07 02:09:00
丹娜絲,嘉南供電區處,大寮～新塭線,RST,2025-07-06 22:58:00,2025-07-06 22:59:00
丹娜絲,嘉南供電區處,大寮～新塭線,ST,2025-07-06 23:01:00,2025-07-06 23:59:00
丹娜絲,嘉南供電區處,天輪～龍崎海線,RST,2025-07-07 00:10:00,2025-07-07 00:10:00
丹娜絲,嘉南供電區處,天輪～龍崎海線,R,2025-07-07 01:11:00,2025-07-07 01:11:00
丹娜絲,嘉南供電區處,心忠~新營、東盟、榮剛、榮重線 ,RST,2025-07-07 03:31:00,2025-07-07 03:31:00
丹娜絲,嘉南供電區處,北港～新港二路,RST,2025-07-07 00:31:00,2025-07-07 00:32:00
丹娜絲,嘉南供電區處,北港~澎湖、四湖一路 ,RST,2025-07-07 00:21:00,2025-07-07 02:35:00
丹娜絲,嘉南供電區處,台康~新營、大寮一路 ,RST,2025-07-07 00:16:00,2025-07-07 00:20:00
丹娜絲,嘉南供電區處,台康~新營、大寮一路 ,ST,2025-07-07 00:47:00,2025-07-07 00:48:00
丹娜絲,嘉南供電區處,田寮~新西、學甲線 ,RST,2025-07-07 00:00:00,2025-07-07 00:05:00
丹娜絲,嘉南供電區處,秀林~中正、福隆、嘉酒、福隆二線 ,RST,2025-07-07 00:25:00,2025-07-07 00:28:00
丹娜絲,嘉南供電區處,秀林~頭橋、福隆二線 ,ST,2025-07-07 01:03:00,2025-07-07 01:04:00
丹娜絲,嘉南供電區處,茂泓~永華、學甲線 ,RST,2025-07-06 22:39:00,2025-07-06 22:43:00
丹娜絲,嘉南供電區處,曾文~白河線 ,RST,2025-07-07 00:04:00,2025-07-07 00:13:00
丹娜絲,嘉南供電區處,新塭～永華線,ST,2025-07-07 04:31:00,2025-07-07 04:31:00
丹娜絲,嘉南供電區處,新營～下營二路,RST,2025-07-06 23:14:00,2025-07-06 23:14:00
丹娜絲,嘉南供電區處,新營～大寮二路,ST,2025-07-07 00:08:00,2025-07-07 00:09:00
丹娜絲,嘉南供電區處,新營～大寮二路,ST,2025-07-07 00:14:00,2025-07-07 00:15:00
丹娜絲,嘉南供電區處,新營～大寮二路,RST,2025-07-07 00:15:00,2025-07-07 00:17:00
丹娜絲,嘉南供電區處,新營～大寮二路,ST,2025-07-07 00:16:00,2025-07-07 03:28:00
丹娜絲,嘉南供電區處,新營~白河、水上線 ,RS,2025-07-06 23:16:00,2025-07-06 23:59:00
