datetime,load_mw,hour_of_day,day_of_week,month,day_of_year,is_weekend,load_pu,load_scale
2025-01-01 00:00:00,24066.63,0,2,1,1,0,0.230245697534784,0.5887118809495562
2025-01-01 01:00:00,23718.0,1,2,1,1,0,0.2142847659470826,0.5801837811260477
2025-01-01 02:00:00,23399.5,2,2,1,1,0,0.1997032419512048,0.5723927138232124
2025-01-01 03:00:00,23079.23,3,2,1,1,0,0.1850406840543138,0.5645583492232783
2025-01-01 04:00:00,23019.46,4,2,1,1,0,0.1823043019845065,0.5630962704393208
2025-01-01 05:00:00,22858.7,5,2,1,1,0,0.17494440937044906,0.5591637995457454
2025-01-01 06:00:00,22425.71,6,2,1,1,0,0.15512131965310166,0.5485721065113508
2025-01-01 07:00:00,22649.56,7,2,1,1,0,0.1653695901286975,0.5540478691981316
2025-01-01 08:00:00,23589.2,8,2,1,1,0,0.20838806173776062,0.5770331077552309
2025-01-01 09:00:00,24536.29,9,2,1,1,0,0.2517476082409189,0.6002005863481421
2025-01-01 10:00:00,25161.12,10,2,1,1,0,0.2803534909358774,0.6154850214590699
2025-01-01 11:00:00,25512.91,11,2,1,1,0,0.2964590932169131,0.6240904204118625
2025-01-01 12:00:00,25514.72,12,2,1,1,0,0.29654195839252556,0.6241346961789523
2025-01-01 13:00:00,25214.69,13,2,1,1,0,0.2828060254428136,0.6167954373944322
2025-01-01 14:00:00,25237.04,14,2,1,1,0,0.283829250125099,0.6173421575018683
2025-01-01 15:00:00,25353.56,15,2,1,1,0,0.2891637530324764,0.6201924405854675
2025-01-01 16:00:00,25705.05,16,2,1,1,0,0.30525562075401813,0.6287905010133279
2025-01-01 17:00:00,26569.13,17,2,1,1,0,0.34481481464525243,0.6499274097575474
2025-01-01 18:00:00,27779.65,18,2,1,1,0,0.4002346778398835,0.6795388470932714
2025-01-01 19:00:00,27626.4,19,2,1,1,0,0.3932186070318198,0.6757900839404943
2025-01-01 20:00:00,27733.47,20,2,1,1,0,0.39812047131514366,0.6784092034887348
2025-01-01 21:00:00,27684.21,21,2,1,1,0,0.39586525664626776,0.6772042176948959
2025-01-01 22:00:00,26959.41,22,2,1,1,0,0.3626825609093377,0.6594743414591189
2025-01-01 23:00:00,25725.29,23,2,1,1,0,0.3061822457011974,0.629285606828742
2025-01-02 00:00:00,24647.21,0,3,1,2,0,0.25682573270441256,0.6029138836330101
2025-01-02 01:00:00,24196.4,1,3,1,2,0,0.23618681015313586,0.5918862822176533
