gen_idx,name,fuel,source,cp2,cp1,cp0
0,Gen_1,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
1,Gen_2,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
2,Gen_3,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
3,Gen_103,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
4,Gen_104,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
5,Gen_211,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
6,Gen_212,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
7,Gen_213,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
8,Gen_301,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
9,Gen_302,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
10,Gen_303,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
11,Gen_304,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
12,Gen_305,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
13,Gen_306,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
14,Gen_307,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
15,Gen_308,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
16,Gen_309,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
17,Gen_310,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
18,Gen_311,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
19,Gen_312,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
20,Gen_313,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
21,Gen_314,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
22,Gen_315,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
23,Gen_316,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
24,Gen_317,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
25,Gen_318,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
26,Gen_319,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
27,Gen_320,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
28,Gen_321,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
29,Gen_322,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
30,Gen_323,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
31,Gen_324,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
32,Gen_325,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
33,Gen_326,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
34,Gen_327,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
35,Gen_328,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
36,Gen_329,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
37,Gen_411,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
38,Gen_451,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
39,Gen_452,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
40,Gen_531,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
41,Gen_532,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
42,Gen_533,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
43,Gen_534,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
44,Gen_535,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
45,Gen_536,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
46,Gen_537,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
47,Gen_538,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
48,Gen_539,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
49,Gen_541,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
50,Gen_542,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
51,Gen_543,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
52,Gen_544,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
53,Gen_545,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
54,Gen_551,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
55,Gen_552,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
56,Gen_553,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
57,Gen_554,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
58,Gen_555,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
59,Gen_556,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
60,Gen_590,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
61,Gen_591,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
62,Gen_592,default,fallback:default,0.5488684210526316,1167.2368421052631,224194.8947368421
