psse_bus_i,bus_name,base_kv,ide,pp_bus_idx
1,¥_³¡¨T¹q,34.5,2,0
2,¤¤³¡¨T¹q,34.5,2,1
3,«n³¡¨T¹q,34.5,2,2
10,®Ö¤@E,345.0,1,3
15,®Ö¤@STB,4.16,1,4
16,®Ö¤@STBS,4.16,1,5
25,®Ö¤GSTR.1,13.8,1,6
26,®Ö¤GSTR.2,13.8,1,7
30,®Ö¤GE,345.0,1,8
51,ÀsªùH,161.0,1,9
53,ÀsªùSST1,11.4,1,10
54,Àsªù#1RAT1,4.2,1,11
55,Àsªù#1RA2,4.2,1,12
56,Àsªù#1ABT,13.8,1,13
57,Àsªù#2RAT1,4.16,1,14
58,Àsªù#2RA2,4.16,1,15
59,Àsªù#2ABT,13.8,1,16
100,¨ó©ME,345.0,1,17
103,¨ó©M#3,18.0,2,18
104,¨ó©M#4,18.0,2,19
105,¨ó©MTUS1,4.16,1,20
106,¨ó©MTUS2,4.16,1,21
210,ªL¤fE,345.0,1,22
211,ªL¤f#1,25.0,2,23
212,ªL¤f#2,25.0,2,24
213,ªL¤f#3,25.0,2,25
216,ªL¤fST1,13.8,1,26
218,ªL¤fST2,13.8,1,27
220,ªL¤fH1,161.0,1,28
229,ªL¤f·Ñ³õL,6.9,1,29
230,ªL¤fH2,161.0,1,30
233,ªL¤fD2,23.9,1,31
238,ªL¤fTE13-2,13.8,1,32
291,¤j¼æ¥ÒH,161.0,1,33
292,¤j¼æ¤AH,161.0,1,34
293,¤j¼æ¤þH,161.0,1,35
294,¤j¼æ¤BH,161.0,1,36
295,¤j¼æ¥³H,161.0,1,37
299,¤j¼æBSGT,13.2,1,38
300,¤j¼æE,345.0,1,39
301,¤j¼æG1-1,16.5,2,40
302,¤j¼æG1-2,16.5,2,41
304,¤j¼æST1,18.0,2,42
305,¤j¼æG2-1,16.5,2,43
306,¤j¼æG2-2,16.5,2,44
308,¤j¼æST2,18.0,2,45
309,¤j¼æG3-1,16.0,2,46
310,¤j¼æG3-2,16.0,2,47
311,¤j¼æST3,16.0,2,48
312,¤j¼æG4-1,16.0,2,49
313,¤j¼æG4-2,16.0,2,50
314,¤j¼æST4,16.0,2,51
315,¤j¼æG5-1,16.0,2,52
316,¤j¼æG5-2,16.0,2,53
317,¤j¼æST5,16.0,2,54
318,¤j¼æG6-1,16.0,2,55
319,¤j¼æG6-2,16.0,2,56
320,¤j¼æST6,16.0,2,57
321,¤j¼æG7-1,25.0,2,58
322,¤j¼æG7-2,25.0,2,59
323,¤j¼æST7,16.0,2,60
324,¤j¼æG8-1,26.0,2,61
325,¤j¼æG8-2,26.0,2,62
326,¤j¼æST8,26.0,2,63
327,¤j¼æG9-1,26.0,2,64
328,¤j¼æG9-2,26.0,2,65
329,¤j¼æST9,26.0,2,66
410,ºÑ®üH,161.0,1,67
411,ºÑ®ü#1,13.8,2,68
450,¥ÛªùH,161.0,1,69
451,¥Ûªù#1,13.8,2,70
452,¥Ûªù#2,13.8,2,71
511,¤¤¤õH1,161.0,1,72
513,¤¤¤õD1,23.9,1,73
521,¤¤¤õH2,161.0,1,74
530,¤¤¤õ¥_E,345.0,1,75
531,¤¤¤õ#1,22.0,2,76
532,¤¤¤õ#2,22.0,2,77
533,¤¤¤õ#3,22.0,2,78
534,¤¤¤õ#4,22.0,2,79
535,¤¤¤õ#5,21.5,2,80
536,¤¤¤õ#6,21.5,2,81
537,¤¤¤õ#7,21.5,2,82
538,¤¤¤õ#8,21.5,2,83
539,¤¤¤õ#9,19.0,2,84
540,¤¤¤õ¤¤E,345.0,1,85
541,¤¤¤õ#10,19.0,2,86
542,¤¤¤õGAS#1,13.8,2,87
544,¤¤¤õGAS#3,13.8,2,88
546,¤¤¤õST.1,6.9,1,89
547,¤¤¤õST.2,6.9,1,90
548,¤¤¤õST.5,6.9,1,91
550,¤¤¤õ«nE,345.0,1,92
551,¥x¤¤·sG1-1,26.0,2,93
552,¥x¤¤·sG1-2,26.0,2,94
553,¥x¤¤·sST1,26.0,2,95
554,¥x¤¤·sG2-1,26.0,2,96
555,¥x¤¤·sG2-2,26.0,2,97
556,¥x¤¤·sST2,26.0,2,98
590,³q¾]·sG3-1,20.0,2,99
591,³q¾]·sG3-2,20.0,2,100
592,³q¾]·sST3,20.0,2,101
593,³q¾]·sG2-1,20.0,2,102
594,³q¾]·sG2-2,20.0,2,103
595,³q¾]·sST2,20.0,2,104
596,³q¾]·sG1-1,20.0,2,105
597,³q¾]·sG1-2,20.0,2,106
598,³q¾]·sST1,20.0,2,107
600,³q¾]¥ÒH1,161.0,1,108
601,³q¾]¥ÒH6,161.0,1,109
610,³q¾]¥ÒH2,161.0,1,110
611,³q¾]¤AH3,161.0,1,111
620,³q¾]¤AH4,161.0,1,112
625,³q¾]G6-1,13.8,2,113
626,³q¾]G6-2,13.8,2,114
627,³q¾]ST6,13.8,2,115
628,³q¾]¤AH5,161.0,1,116
650,³q¾]¥ÒE,345.0,1,117
652,³q¾]¥ÒL,69.0,2,118
660,³q¾]¤AE,345.0,1,119
691,³q¾]GAS#1,13.8,2,120
692,³q¾]GAS#2,13.8,2,121
693,³q¾]GAS#3,13.8,2,122
697,³q¾]GAS#1-3,13.8,1,123
700,¤jÆ[¤GE,345.0,1,124
701,¤jÆ[¤G#1,16.5,2,125
702,¤jÆ[¤G#2,16.5,2,126
703,¤jÆ[¤G#3,16.5,2,127
704,¤jÆ[¤G#4,16.5,2,128
705,Æ[¤GS.T1,6.9,1,129
706,Æ[¤GS.T2,6.9,1,130
710,©ú¼æE1,345.0,1,131
711,©ú¼æ#1,16.5,2,132
712,©ú¼æ#2,16.5,2,133
713,©ú¼æ#3,16.5,2,134
714,©ú¼æ#4,16.5,2,135
715,©ú¼æ#5,16.5,2,136
716,©ú¼æ#6,16.5,2,137
717,©ú¼æS.T1,13.8,1,138
718,©ú¼æS.T2,13.8,1,139
720,©ú¼æE2,345.0,1,140
800,¤Ñ½üH,161.0,1,141
801,¤Ñ½ü#1,11.0,2,142
802,¤Ñ½ü#2,11.0,2,143
803,¤Ñ½ü#3,11.0,2,144
804,¤Ñ½ü#4,11.0,2,145
805,¤Ñ½ü#5,13.8,2,146
820,¨¦ÃöH,161.0,1,147
822,¨¦ÃöD,23.9,1,148
825,¨¦Ãö#1,13.8,2,149
826,¨¦Ãö#2,13.8,2,150
