gen,name,bus_name,plant,fuel,cap_mw,how,cp2,cp1,cp0
0,Gen_1,北部汽電,-,gas,590.0,fallback:gas,0.6586421052631579,1400.6842105263156,269033.8736842105
1,Gen_2,中部汽電,-,gas,666.8,fallback:gas,0.6586421052631579,1400.6842105263156,269033.8736842105
2,Gen_3,南部汽電,南部,gas,666.8,bus:南部,2.4599999999999995,681.99,252786.0
3,Gen_103,協和#3,協和,oil,485.0,bus:協和,0.27,3659.8500000000004,188541.9
4,Gen_104,協和#4,協和,oil,485.0,bus:協和,0.27,3659.8500000000004,188541.9
5,Gen_211,林口#1,林口,coal,752.0,bus:林口,-0.6416666666666666,1679.736666666667,39730.533333333326
6,Gen_212,林口#2,林口,coal,752.0,bus:林口,-0.6416666666666666,1679.736666666667,39730.533333333326
7,Gen_213,林口#3,林口,coal,752.0,bus:林口,-0.6416666666666666,1679.736666666667,39730.533333333326
8,Gen_301,大潭G1-1,大潭,gas,151.5,bus:大潭,-0.0003,1647.92,312200.0
9,Gen_302,大潭G1-2,大潭,gas,151.5,bus:大潭,-0.0003,1647.92,312200.0
10,Gen_303,大潭G1-3,大潭,gas,151.5,bus:大潭,-0.0003,1647.92,312200.0
11,Gen_304,大潭ST1,大潭,gas,270.7,bus:大潭,-0.0003,1647.92,312200.0
12,Gen_305,大潭G2-1,大潭,gas,151.5,bus:大潭,-0.0003,1647.92,312200.0
13,Gen_306,大潭G2-2,大潭,gas,151.5,bus:大潭,-0.0003,1647.92,312200.0
14,Gen_307,大潭G2-3,大潭,gas,151.5,bus:大潭,-0.0003,1647.92,312200.0
15,Gen_308,大潭ST2,大潭,gas,270.7,bus:大潭,-0.0003,1647.92,312200.0
16,Gen_309,大潭G3-1,大潭,gas,233.4,bus:大潭,-0.0003,1647.92,312200.0
17,Gen_310,大潭G3-2,大潭,gas,233.4,bus:大潭,-0.0003,1647.92,312200.0
18,Gen_311,大潭ST3,大潭,gas,241.25,bus:大潭,-0.0003,1647.92,312200.0
19,Gen_312,大潭G4-1,大潭,gas,233.4,bus:大潭,-0.0003,1647.92,312200.0
20,Gen_313,大潭G4-2,大潭,gas,233.4,bus:大潭,-0.0003,1647.92,312200.0
21,Gen_314,大潭ST4,大潭,gas,241.25,bus:大潭,-0.0003,1647.92,312200.0
22,Gen_315,大潭G5-1,大潭,gas,233.4,bus:大潭,-0.0003,1647.92,312200.0
23,Gen_316,大潭G5-2,大潭,gas,233.4,bus:大潭,-0.0003,1647.92,312200.0
24,Gen_317,大潭ST5,大潭,gas,241.25,bus:大潭,-0.0003,1647.92,312200.0
25,Gen_318,大潭G6-1,大潭,gas,233.4,bus:大潭,-0.0003,1647.92,312200.0
26,Gen_319,大潭G6-2,大潭,gas,233.4,bus:大潭,-0.0003,1647.92,312200.0
27,Gen_320,大潭ST6,大潭,gas,241.25,bus:大潭,-0.0003,1647.92,312200.0
28,Gen_321,大潭G7-1,大潭,gas,327.25,bus:大潭,-0.0003,1647.92,312200.0
29,Gen_322,大潭G7-2,大潭,gas,327.25,bus:大潭,-0.0003,1647.92,312200.0
30,Gen_323,大潭ST7,大潭,gas,326.0,bus:大潭,-0.0003,1647.92,312200.0
31,Gen_324,大潭G8-1,大潭,gas,366.4,bus:大潭,-0.0003,1647.92,312200.0
32,Gen_325,大潭G8-2,大潭,gas,366.4,bus:大潭,-0.0003,1647.92,312200.0
33,Gen_326,大潭ST8,大潭,gas,390.8,bus:大潭,-0.0003,1647.92,312200.0
34,Gen_327,大潭G9-1,大潭,gas,366.4,bus:大潭,-0.0003,1647.92,312200.0
35,Gen_328,大潭G9-2,大潭,gas,366.4,bus:大潭,-0.0003,1647.92,312200.0
36,Gen_329,大潭ST9,大潭,gas,390.8,bus:大潭,-0.0003,1647.92,312200.0
37,Gen_411,碧海#1,碧海,hydro,61.2,bus:碧海,0.0,0.0,0.0
38,Gen_451,石門#1,石門,hydro,40.0,bus:石門,0.0,0.0,0.0
39,Gen_452,石門#2,石門,hydro,29.75,bus:石門,0.0,0.0,0.0
40,Gen_531,中火#1,台中,coal,537.9,bus:台中,0.23100000000000004,1015.1569999999999,92922.5
41,Gen_532,中火#2,台中,coal,537.9,bus:台中,0.23100000000000004,1015.1569999999999,92922.5
42,Gen_533,中火#3,台中,coal,537.9,bus:台中,0.23100000000000004,1015.1569999999999,92922.5
43,Gen_534,中火#4,台中,coal,537.9,bus:台中,0.23100000000000004,1015.1569999999999,92922.5
44,Gen_535,中火#5,台中,coal,525.0,bus:台中,0.23100000000000004,1015.1569999999999,92922.5
45,Gen_536,中火#6,台中,coal,525.0,bus:台中,0.23100000000000004,1015.1569999999999,92922.5
46,Gen_537,中火#7,台中,coal,525.0,bus:台中,0.23100000000000004,1015.1569999999999,92922.5
47,Gen_538,中火#8,台中,coal,525.0,bus:台中,0.23100000000000004,1015.1569999999999,92922.5
48,Gen_539,中火#9,台中,coal,525.0,bus:台中,0.23100000000000004,1015.1569999999999,92922.5
49,Gen_541,中火#10,台中,coal,525.0,bus:台中,0.23100000000000004,1015.1569999999999,92922.5
50,Gen_542,中火GAS#1,台中,coal,69.7,bus:台中,0.23100000000000004,1015.1569999999999,92922.5
51,Gen_543,中火GAS#2,台中,coal,69.7,bus:台中,0.23100000000000004,1015.1569999999999,92922.5
52,Gen_544,中火GAS#3,台中,coal,69.7,bus:台中,0.23100000000000004,1015.1569999999999,92922.5
53,Gen_545,中火GAS#4,台中,coal,69.7,bus:台中,0.23100000000000004,1015.1569999999999,92922.5
54,Gen_551,台中新G1-1,台中新,gas,456.5,bus:台中新,0.6586421052631579,1400.6842105263156,269033.8736842105
55,Gen_552,台中新G1-2,台中新,gas,456.5,bus:台中新,0.6586421052631579,1400.6842105263156,269033.8736842105
56,Gen_553,台中新ST1,台中新,gas,456.0,bus:台中新,0.6586421052631579,1400.6842105263156,269033.8736842105
57,Gen_554,台中新G2-1,台中新,gas,456.5,bus:台中新,0.6586421052631579,1400.6842105263156,269033.8736842105
58,Gen_555,台中新G2-2,台中新,gas,456.5,bus:台中新,0.6586421052631579,1400.6842105263156,269033.8736842105
59,Gen_556,台中新ST2,台中新,gas,456.0,bus:台中新,0.6586421052631579,1400.6842105263156,269033.8736842105
60,Gen_590,通霄新G3-1,通霄,gas,335.75,bus:通霄,0.6,1101.42,371949.0
61,Gen_591,通霄新G3-2,通霄,gas,335.75,bus:通霄,0.6,1101.42,371949.0
62,Gen_592,通霄新ST3,通霄,gas,319.6,bus:通霄,0.6,1101.42,371949.0
63,Gen_593,通霄新G2-1,通霄,gas,335.75,bus:通霄,0.6,1101.42,371949.0
64,Gen_594,通霄新G2-2,通霄,gas,335.75,bus:通霄,0.6,1101.42,371949.0
65,Gen_595,通霄新ST2,通霄,gas,319.6,bus:通霄,0.6,1101.42,371949.0
66,Gen_596,通霄新G1-1,通霄,gas,335.75,bus:通霄,0.6,1101.42,371949.0
67,Gen_597,通霄新G1-2,通霄,gas,335.75,bus:通霄,0.6,1101.42,371949.0
68,Gen_598,通霄新ST1,通霄,gas,319.6,bus:通霄,0.6,1101.42,371949.0
69,Gen_616,通霄G4-1,通霄,gas,90.0,bus:通霄,0.6,1101.42,371949.0
70,Gen_617,通霄G4-2,通霄,gas,90.0,bus:通霄,0.6,1101.42,371949.0
71,Gen_618,通霄G4-3,通霄,gas,84.28,bus:通霄,0.6,1101.42,371949.0
72,Gen_619,通霄ST4,通霄,gas,117.6,bus:通霄,0.6,1101.42,371949.0
73,Gen_621,通霄G5-1,通霄,gas,84.28,bus:通霄,0.6,1101.42,371949.0
74,Gen_622,通霄G5-2,通霄,gas,90.0,bus:通霄,0.6,1101.42,371949.0
75,Gen_623,通霄G5-3,通霄,gas,84.28,bus:通霄,0.6,1101.42,371949.0
76,Gen_624,通霄ST5,通霄,gas,125.42,bus:通霄,0.6,1101.42,371949.0
77,Gen_625,通霄G6-1,通霄,gas,103.0,bus:通霄,0.6,1101.42,371949.0
78,Gen_626,通霄G6-2,通霄,gas,103.0,bus:通霄,0.6,1101.42,371949.0
79,Gen_627,通霄ST6,通霄,gas,108.8,bus:通霄,0.6,1101.42,371949.0
80,Gen_691,通霄GAS#1,通霄,gas,37.856,bus:通霄,0.6,1101.42,371949.0
81,Gen_692,通霄GAS#2,通霄,gas,37.856,bus:通霄,0.6,1101.42,371949.0
82,Gen_693,通霄GAS#3,通霄,gas,37.856,bus:通霄,0.6,1101.42,371949.0
83,Gen_694,通霄GAS#4,通霄,gas,37.856,bus:通霄,0.6,1101.42,371949.0
84,Gen_695,通霄GAS#5,通霄,gas,37.856,bus:通霄,0.6,1101.42,371949.0
