comp_id,comp_type,label,pmax_mw,for_rate,mttr_hr,lam_per_hr,mu_per_hr,hf
GEN_1_1,generator,Bus1_Gen1,9999.0,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_2_1,generator,Bus2_Gen1,9999.0,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_3_1,generator,Bus3_Gen1,9999.0,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_103_3,generator,Bus103_Gen3,485.0,0.004396,6.53,0.00067622,0.15313936,1.0
GEN_104_4,generator,Bus104_Gen4,485.0,0.004396,6.53,0.00067622,0.15313936,1.0
GEN_211_1,generator,Bus211_Gen1,752.0,0.001,120.0,8.34e-06,0.00833333,1.0
GEN_212_2,generator,Bus212_Gen2,752.0,0.001,120.0,8.34e-06,0.00833333,1.0
GEN_213_3,generator,Bus213_Gen3,752.0,0.001,120.0,8.34e-06,0.00833333,1.0
GEN_301_1,generator,Bus301_Gen1,151.5,0.093874,295.0,0.00035119,0.00338983,1.0
GEN_302_2,generator,Bus302_Gen2,151.5,0.093874,295.0,0.00035119,0.00338983,1.0
GEN_304_S,generator,Bus304_GenS,270.7,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_305_1,generator,Bus305_Gen1,151.5,0.093874,295.0,0.00035119,0.00338983,1.0
GEN_306_2,generator,Bus306_Gen2,151.5,0.093874,295.0,0.00035119,0.00338983,1.0
GEN_308_S,generator,Bus308_GenS,270.7,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_309_1,generator,Bus309_Gen1,233.4,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_310_2,generator,Bus310_Gen2,233.4,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_311_S,generator,Bus311_GenS,241.25,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_312_1,generator,Bus312_Gen1,233.4,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_313_2,generator,Bus313_Gen2,233.4,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_314_S,generator,Bus314_GenS,241.25,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_315_1,generator,Bus315_Gen1,233.4,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_316_2,generator,Bus316_Gen2,233.4,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_317_S,generator,Bus317_GenS,241.25,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_318_1,generator,Bus318_Gen1,233.4,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_319_2,generator,Bus319_Gen2,233.4,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_320_S,generator,Bus320_GenS,241.25,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_321_1,generator,Bus321_Gen1,327.25,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_322_2,generator,Bus322_Gen2,327.25,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_323_S,generator,Bus323_GenS,326.0,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_324_1,generator,Bus324_Gen1,366.4,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_325_2,generator,Bus325_Gen2,366.4,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_326_S,generator,Bus326_GenS,390.8,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_327_1,generator,Bus327_Gen1,366.4,0.001,72.0,1.39e-05,0.01388889,1.0
