KPI,Value
EENS_mean_MWh_yr,10779419.32196056
EENS_std_MWh_yr,2110233.9026391036
EENS_ci95_lo,10355431.65984688
EENS_ci95_hi,11191905.14280372
LOLH_mean_hr_yr,8743.113402061856
LOLH_ci95_lo,8739.154381443299
LOLH_ci95_hi,8746.58762886598
LOLE_mean_days_yr,364.29639175257734
LOLE_ci95_lo,364.13143256013745
LOLE_ci95_hi,364.4411512027491
LOLP,0.9980723061714447
SAIDI_mean_min_cust_yr,2622.934020618557
SAIDI_ci95_lo,2621.74631443299
SAIDI_ci95_hi,2623.976288659794
SAIDI_target,15.0
SAIDI_meets_target,False
SAIFI_mean_int_cust_yr,21.857783505154643
SAIFI_ci95_lo,21.84788595360825
SAIFI_ci95_hi,21.866469072164946
CAIDI_mean_min_int,120.0
n_generators,510
mean_gen_FOR,0.013935162745098038
max_gen_FOR,0.202734
total_gen_capacity_mw,87296.40200000002
effective_capacity_at_risk_mw,1664.9706391070001
system_peak_load_mw,40880.15
system_avg_load_mw,29446.40693207763
load_factor,0.7203106380988726
annual_energy_gwh,257950.52472500002
EENS_fraction_annual,0.0417887086426843
n_years,97
