scenario_id,n_gen_failed,n_line_failed,total_failures,total_load_mw,available_gen_mw,ens_mwh,cost_ntd,load_scale,mean_gen_failure_prob,mean_line_failure_prob,gen_0_failed,gen_1_failed,gen_2_failed,gen_3_failed,gen_4_failed,gen_5_failed,gen_6_failed,gen_7_failed,gen_8_failed,gen_9_failed,gen_10_failed,gen_11_failed,gen_12_failed,gen_13_failed,gen_14_failed,gen_15_failed,gen_16_failed,gen_17_failed,gen_18_failed,gen_19_failed,gen_20_failed,gen_21_failed,gen_22_failed,gen_23_failed,gen_24_failed,gen_25_failed,gen_26_failed,gen_27_failed,gen_28_failed,gen_29_failed,gen_30_failed,gen_31_failed,gen_32_failed,gen_33_failed,gen_34_failed,gen_35_failed,gen_36_failed,gen_37_failed,gen_38_failed,gen_39_failed,gen_40_failed,gen_41_failed,gen_42_failed,gen_43_failed,gen_44_failed,gen_45_failed,gen_46_failed,gen_47_failed,gen_48_failed,gen_49_failed,gen_50_failed,gen_51_failed,gen_52_failed,gen_53_failed,gen_54_failed,gen_55_failed,gen_56_failed,gen_57_failed,gen_58_failed,gen_59_failed,gen_60_failed,gen_61_failed,gen_62_failed,gen_63_failed,gen_64_failed,gen_65_failed,gen_66_failed,gen_67_failed,gen_68_failed,gen_69_failed,gen_70_failed,gen_71_failed,gen_72_failed,gen_73_failed,gen_74_failed,gen_75_failed,gen_76_failed,gen_77_failed,gen_78_failed,gen_79_failed,gen_80_failed,gen_81_failed,gen_82_failed,gen_83_failed,gen_84_failed,gen_85_failed,gen_86_failed,gen_87_failed,gen_88_failed,gen_89_failed,gen_90_failed,gen_91_failed,gen_92_failed,gen_93_failed,gen_94_failed,gen_95_failed,gen_96_failed,gen_97_failed,gen_98_failed,gen_99_failed,line_0_failed,line_1_failed,line_2_failed,line_3_failed,line_4_failed,line_5_failed,line_6_failed,line_7_failed,line_8_failed,line_9_failed,line_10_failed,line_11_failed,line_12_failed,line_13_failed,line_14_failed,line_15_failed,line_16_failed,line_17_failed,line_18_failed,line_19_failed,line_20_failed,line_21_failed,line_22_failed,line_23_failed,line_24_failed,line_25_failed,line_26_failed,line_27_failed,line_28_failed,line_29_failed,line_30_failed,line_31_failed,line_32_failed,line_33_failed,line_34_failed,line_35_failed,line_36_failed,line_37_failed,line_38_failed,line_39_failed,line_40_failed,line_41_failed,line_42_failed,line_43_failed,line_44_failed,line_45_failed,line_46_failed,line_47_failed,line_48_failed,line_49_failed,line_50_failed,line_51_failed,line_52_failed,line_53_failed,line_54_failed,line_55_failed,line_56_failed,line_57_failed,line_58_failed,line_59_failed,line_60_failed,line_61_failed,line_62_failed,line_63_failed,line_64_failed,line_65_failed,line_66_failed,line_67_failed,line_68_failed,line_69_failed,line_70_failed,line_71_failed,line_72_failed,line_73_failed,line_74_failed,line_75_failed,line_76_failed,line_77_failed,line_78_failed,line_79_failed,line_80_failed,line_81_failed,line_82_failed,line_83_failed,line_84_failed,line_85_failed,line_86_failed,line_87_failed,line_88_failed,line_89_failed,line_90_failed,line_91_failed,line_92_failed,line_93_failed,line_94_failed,line_95_failed,line_96_failed,line_97_failed,line_98_failed,line_99_failed
0,4,11,15,31770.28,80145.64,0,0,0.75,0.01,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,16,22,31770.28,79719.18,0,0,0.75,0.01,0.005,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,11,17,31770.28,79639.89,0,0,0.75,0.01,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,13,15,28,31770.28,79825.46,0,0,0.75,0.01,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,6,11,17,31770.28,79198.66,0,0,0.75,0.01,0.005,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,14,22,31770.28,79742.82,0,0,0.75,0.01,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,6,12,31770.28,80060.81,0,0,0.75,0.01,0.005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,13,19,31770.28,79600.06,0,0,0.75,0.01,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,11,14,25,31770.28,78363.02,0,0,0.75,0.01,0.005,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,14,23,31770.28,78744.37,0,0,0.75,0.01,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
